njEV,t9ZCGgAIaUI,"[159, 626, 1740, 2437]",
9syr,ouyjL5V4-8k,"[5, 49, 80, 104, 2477]","[{'text': 'we had the good life driving school want', 'start': 0.02, 'duration': 5.25}, {'text': 'you to understand that driving is for', 'start': 3.139, 'duration': 4.47}, {'text': ""life it's not just about getting you to"", 'start': 5.27, 'duration': 5.28}, {'text': 'pass your test many new drivers have', 'start': 7.609, 'duration': 4.861}, {'text': 'accidents in their first year mainly', 'start': 10.55, 'duration': 3.93}, {'text': ""because there's a new driver you lack"", 'start': 12.47, 'duration': 4.98}, {'text': ""experience that's why it is so important"", 'start': 14.48, 'duration': 4.55}, {'text': 'that you learn to be a good driver', 'start': 17.45, 'duration': 4.77}, {'text': 'learning to drive is intimidating there', 'start': 19.03, 'duration': 5.47}, {'text': ""is so much to learn it's not enough to"", 'start': 22.22, 'duration': 5.04}, {'text': 'just learn how to control your car you', 'start': 24.5, 'duration': 5.07}, {'text': 'need to know how to spot and handle the', 'start': 27.26, 'duration': 4.859}, {'text': 'dangers that surround you when you start', 'start': 29.57, 'duration': 4.62}, {'text': 'we will find somewhere quiet where you', 'start': 32.119, 'duration': 3.87}, {'text': 'can really learn how to handle the', 'start': 34.19, 'duration': 3.63}, {'text': 'controls when there is no one else', 'start': 35.989, 'duration': 3.571}, {'text': 'around to worry about you can sit back', 'start': 37.82, 'duration': 3.6}, {'text': 'relax and really enjoy the learning', 'start': 39.56, 'duration': 4.35}, {'text': ""experience driving is fun we'll also"", 'start': 41.42, 'duration': 4.95}, {'text': 'give you a free set of L&P plates for', 'start': 43.91, 'duration': 5.19}, {'text': 'your car just ask choosing the right', 'start': 46.37, 'duration': 5.34}, {'text': 'driving school is important you must be', 'start': 49.1, 'duration': 4.95}, {'text': 'comfortable and trust your instructor', 'start': 51.71, 'duration': 3.84}, {'text': 'which is why we offer a one', 'start': 54.05, 'duration': 3.96}, {'text': 'hundred-percent money-back guarantee if', 'start': 55.55, 'duration': 4.529}, {'text': 'after your first lesson you are not', 'start': 58.01, 'duration': 5.25}, {'text': 'happy then ask for a refund when you', 'start': 60.079, 'duration': 4.951}, {'text': 'learn to drive you will be under', 'start': 63.26, 'duration': 3.66}, {'text': 'pressure which is why you need to learn', 'start': 65.03, 'duration': 4.259}, {'text': 'in a good quality comfortable car you', 'start': 66.92, 'duration': 4.35}, {'text': ""don't need the additional stress of"", 'start': 69.289, 'duration': 4.561}, {'text': 'being overly hot so our cars are fitted', 'start': 71.27, 'duration': 5.189}, {'text': 'with air conditioning your safety is our', 'start': 73.85, 'duration': 5.28}, {'text': 'top most priority our cars are fitted', 'start': 76.459, 'duration': 5.881}, {'text': 'with dual controls airbags abs and are', 'start': 79.13, 'duration': 5.61}, {'text': 'fully insured which means you can learn', 'start': 82.34, 'duration': 4.08}, {'text': 'with confidence knowing that the', 'start': 84.74, 'duration': 4.229}, {'text': 'instructor has your back covered if you', 'start': 86.42, 'duration': 4.409}, {'text': 'get friends and family teaching you to', 'start': 88.969, 'duration': 4.11}, {'text': 'drive you will often end up yelling at', 'start': 90.829, 'duration': 4.591}, {'text': 'each other at goodlife we guarantee', 'start': 93.079, 'duration': 4.86}, {'text': 'there will be no yelling all our driving', 'start': 95.42, 'duration': 4.17}, {'text': 'instructors are fully accredited and', 'start': 97.939, 'duration': 4.29}, {'text': ""hold child's safety blue cards be"", 'start': 99.59, 'duration': 4.529}, {'text': 'selective with your driving schools', 'start': 102.229, 'duration': 4.2}, {'text': 'choosing the cheapest could cost you', 'start': 104.119, 'duration': 4.8}, {'text': 'more in the end re taking your test will', 'start': 106.429, 'duration': 5.1}, {'text': 'cost you more money ask your driving', 'start': 108.919, 'duration': 4.86}, {'text': 'instructor what their first time pass', 'start': 111.529, 'duration': 4.5}, {'text': 'rate is if you have already started', 'start': 113.779, 'duration': 4.2}, {'text': ""driving it's wise to have a few lessons"", 'start': 116.029, 'duration': 4.171}, {'text': 'before your test to ensure that you know', 'start': 117.979, 'duration': 4.861}, {'text': 'what to expect and that you are ready we', 'start': 120.2, 'duration': 5.129}, {'text': 'can even take you on a mock test driving', 'start': 122.84, 'duration': 4.649}, {'text': 'tests are only scary if you are', 'start': 125.329, 'duration': 4.471}, {'text': 'inadequately prepared or have not been', 'start': 127.489, 'duration': 4.141}, {'text': 'through the test situation before where', 'start': 129.8, 'duration': 4.14}, {'text': 'you start your lessons is up', 'start': 131.63, 'duration': 4.47}, {'text': 'to you we can pick you up from work home', 'start': 133.94, 'duration': 4.86}, {'text': 'school or even at the college gates we', 'start': 136.1, 'duration': 4.38}, {'text': 'can also organize and deliver you to', 'start': 138.8, 'duration': 3.75}, {'text': ""your driving test even if it's on a"", 'start': 140.48, 'duration': 4.59}, {'text': 'saturday the first time you drive after', 'start': 142.55, 'duration': 5.16}, {'text': 'passing your test is thrilling you are', 'start': 145.07, 'duration': 5.49}, {'text': 'experiencing true freedom where will you', 'start': 147.71, 'duration': 5.16}, {'text': 'celebrate a trip to the movies meet your', 'start': 150.56, 'duration': 4.56}, {'text': 'friends or spend a day at the beach you', 'start': 152.87, 'duration': 5.01}, {'text': 'choose good life driving instructors are', 'start': 155.12, 'duration': 5.46}, {'text': 'super patient friendly fully qualified', 'start': 157.88, 'duration': 4.98}, {'text': 'and professional and are ready to help', 'start': 160.58, 'duration': 6.57}, {'text': 'you become a good driver call us now on', 'start': 162.86, 'duration': 12.02}, {'text': '07 30 36 52 65 or visit our website at', 'start': 167.15, 'duration': 13.22}, {'text': 'WWDC or calm hey you', 'start': 174.88, 'duration': 5.49}]"
URyr,ox5ct9FNvgM,"[68, 72, 151]",
H3yr,p-a5YeeCSUk,[13],
2Qyr,tjy_s-Poiog,"[6, 8]",
Oqyr,PKqoF99Yrfc,"[136, 769]",
gXyr,PODq72UPQEU,"[15, 18, 67, 1048]","[{'text': 'my hearing loss started many years ago', 'start': 6.18, 'duration': 6.369}, {'text': ""in the 1950s it's a combination I think"", 'start': 9.49, 'duration': 6.45}, {'text': 'of guns when I was in my the army on my', 'start': 12.549, 'duration': 6.031}, {'text': 'national service and then in the', 'start': 15.94, 'duration': 5.58}, {'text': 'colonial police force out in Kenya my', 'start': 18.58, 'duration': 5.64}, {'text': 'hearing loss has affected me in a very', 'start': 21.52, 'duration': 5.46}, {'text': 'big way it started of course that I', 'start': 24.22, 'duration': 6.15}, {'text': ""eventually lost my job it wasn't long"", 'start': 26.98, 'duration': 6.54}, {'text': ""after I'd lost my job that my wife"", 'start': 30.37, 'duration': 5.459}, {'text': ""decided she couldn't take it and she"", 'start': 33.52, 'duration': 2.91}, {'text': 'left', 'start': 35.829, 'duration': 4.05}, {'text': 'of course that became very very well', 'start': 36.43, 'duration': 7.08}, {'text': 'depressed is the right word I saw my', 'start': 39.879, 'duration': 6.03}, {'text': 'daughter and my son from time to time', 'start': 43.51, 'duration': 4.829}, {'text': 'and the grandchildren when they came', 'start': 45.909, 'duration': 5.45}, {'text': ""along but it wasn't a close relationship"", 'start': 48.339, 'duration': 7.531}, {'text': 'because of me I applied for a hearing', 'start': 51.359, 'duration': 7.87}, {'text': 'job and very fortunately was given the', 'start': 55.87, 'duration': 6.899}, {'text': 'beautiful Callie Callie and I moved to', 'start': 59.229, 'duration': 7.111}, {'text': 'Lincoln we were very happy in our little', 'start': 62.769, 'duration': 6.721}, {'text': 'cottage but then in the June he was made', 'start': 66.34, 'duration': 7.53}, {'text': 'hearing dog of the month and found to', 'start': 69.49, 'duration': 6.78}, {'text': 'have advanced cancer of the spleen and', 'start': 73.87, 'duration': 5.58}, {'text': 'liver and the vet had to put him to', 'start': 76.27, 'duration': 7.32}, {'text': 'sleep which for me was a disaster but at', 'start': 79.45, 'duration': 7.83}, {'text': 'least I was able to go hold him cuddle', 'start': 83.59, 'duration': 7.47}, {'text': 'him and comfort him whilst the vet did', 'start': 87.28, 'duration': 7.77}, {'text': 'that that was probably the most', 'start': 91.06, 'duration': 8.03}, {'text': 'soul-destroying experience of my life', 'start': 95.05, 'duration': 7.47}, {'text': 'hearing dogs for dead people came to my', 'start': 99.09, 'duration': 4.51}, {'text': 'assistance', 'start': 102.52, 'duration': 4.02}, {'text': ""I've got the most delightful black"", 'start': 103.6, 'duration': 6.51}, {'text': 'Labrador offered to me then papi came', 'start': 106.54, 'duration': 8.25}, {'text': 'into my life this miserable man as she', 'start': 110.11, 'duration': 6.69}, {'text': 'brought me out of my misery', 'start': 114.79, 'duration': 6.54}, {'text': 'I had trouble bonding with her I could', 'start': 116.8, 'duration': 7.13}, {'text': 'only go 80% of the way there', 'start': 121.33, 'duration': 7.709}, {'text': 'so the 80% became enough that she passed', 'start': 123.93, 'duration': 7.86}, {'text': 'her finals without any trouble at all', 'start': 129.039, 'duration': 7.051}, {'text': 'that she worked on me oh boy did she', 'start': 131.79, 'duration': 6.26}, {'text': 'work on me', 'start': 136.09, 'duration': 5.23}, {'text': ""she won't eat Herman that we were gonna"", 'start': 138.05, 'duration': 6.72}, {'text': ""have fun together now we're out in the"", 'start': 141.32, 'duration': 7.23}, {'text': ""belt this year we've done over 100 talks"", 'start': 144.77, 'duration': 7.35}, {'text': ""or visits for hearing dogs she's with me"", 'start': 148.55, 'duration': 6.84}, {'text': 'all the time and she is the one who did', 'start': 152.12, 'duration': 6.77}, {'text': 'the bonding now I can assure you', 'start': 155.39, 'duration': 7.41}, {'text': 'absolute love between the pair of us she', 'start': 158.89, 'duration': 9.69}, {'text': 'proved to me conclusively I needed her', 'start': 162.8, 'duration': 9.02}, {'text': 'and I did and I do', 'start': 168.58, 'duration': 7.56}, {'text': 'and we have a wonderful life together', 'start': 171.82, 'duration': 4.32}]"
MMyr,PS80zeKLIPw,"[43, 286, 873]",
HMyr,PZBS_Yd2lcU,"[0, 1, 449, 836]",
7Nyr,uPSIcYpfKgE,"[0, 312]","[{'text': 'hi have you ever wondered who those', 'start': 72.74, 'duration': 4.06}, {'text': 'good-looking fellows in the short shorts', 'start': 75.24, 'duration': 4.71}, {'text': 'are do you know what kind of ball this', 'start': 76.8, 'duration': 9.03}, {'text': 'is well this is a rugby ball', 'start': 79.95, 'duration': 7.59}, {'text': ""those were thunder chickens and I'm"", 'start': 85.83, 'duration': 3.36}, {'text': 'gonna tell you a little bit about the', 'start': 87.54, 'duration': 5.61}, {'text': 'sport of rugby rugby is one of the', 'start': 89.19, 'duration': 6.12}, {'text': ""world's leading sports it was one of the"", 'start': 93.15, 'duration': 4.41}, {'text': 'first Olympic sports and a precursor to', 'start': 95.31, 'duration': 4.35}, {'text': 'American football it is immensely', 'start': 97.56, 'duration': 4.23}, {'text': 'popular in places such as New Zealand', 'start': 99.66, 'duration': 4.71}, {'text': 'Australia South Africa and the United', 'start': 101.79, 'duration': 5.61}, {'text': 'Kingdom our own Principia Thunder', 'start': 104.37, 'duration': 4.77}, {'text': 'chickens Rugby Football Club was started', 'start': 107.4, 'duration': 5.13}, {'text': 'in 1978 by South African student Ward', 'start': 109.14, 'duration': 5.73}, {'text': 'Patterson today we have a few Thunder', 'start': 112.53, 'duration': 3.75}, {'text': 'chickens who are gonna help break down', 'start': 114.87, 'duration': 4.95}, {'text': ""the game for us let's begin first we'll"", 'start': 116.28, 'duration': 5.37}, {'text': 'start with the field a professional', 'start': 119.82, 'duration': 5.16}, {'text': 'rugby field is 144 metres by 70 meters', 'start': 121.65, 'duration': 7.23}, {'text': 'or about 155 yards by 75 yards much', 'start': 124.98, 'duration': 5.82}, {'text': 'wider than a football or soccer field', 'start': 128.88, 'duration': 4.02}, {'text': ""but it's similar to a football field"", 'start': 130.8, 'duration': 4.47}, {'text': 'because rugby also makes use of uprights', 'start': 132.9, 'duration': 5.16}, {'text': 'there are 15 players on each team and', 'start': 135.27, 'duration': 5.16}, {'text': 'you are allowed six substitutes per game', 'start': 138.06, 'duration': 5.04}, {'text': 'the objective is to touch the ball down', 'start': 140.43, 'duration': 5.24}, {'text': 'in the other teams try zone to score try', 'start': 143.1, 'duration': 5.58}, {'text': 'one try gets you five points like', 'start': 145.67, 'duration': 4.84}, {'text': 'football you have a chance to score', 'start': 148.68, 'duration': 4.05}, {'text': 'conversion after each try which you can', 'start': 150.51, 'duration': 4.8}, {'text': 'award you another two points during play', 'start': 152.73, 'duration': 4.95}, {'text': 'teams may also attempt a drop goal which', 'start': 155.31, 'duration': 5.67}, {'text': 'gives you three points rugby is not', 'start': 157.68, 'duration': 5.07}, {'text': ""rocket science there's just a few rules"", 'start': 160.98, 'duration': 6.33}, {'text': 'you need to know the first rule is that', 'start': 162.75, 'duration': 6.42}, {'text': 'you cannot pass forwards you can only', 'start': 167.31, 'duration': 4.53}, {'text': 'pass backwards if you trying to catch a', 'start': 169.17, 'duration': 4.47}, {'text': 'pass accidentally knock the ball', 'start': 171.84, 'duration': 4.11}, {'text': 'forwards that is a knock-on which is the', 'start': 173.64, 'duration': 4.44}, {'text': 'penalty while you can only pass', 'start': 175.95, 'duration': 4.44}, {'text': 'backwards you can kick forwards at any', 'start': 178.08, 'duration': 2.87}, {'text': 'time', 'start': 180.39, 'duration': 3.599}, {'text': 'finally rugby is a tackling sport but', 'start': 180.95, 'duration': 6.039}, {'text': 'high tackles are not allowed although', 'start': 183.989, 'duration': 4.981}, {'text': 'there are 15 players on the field there', 'start': 186.989, 'duration': 4.531}, {'text': 'are only two basic positions forwards', 'start': 188.97, 'duration': 5.639}, {'text': 'and backs forwards are your bigger', 'start': 191.52, 'duration': 4.95}, {'text': 'players who mainly serve as bangers', 'start': 194.609, 'duration': 3.63}, {'text': 'carrying the ball into the thick of', 'start': 196.47, 'duration': 2.2}, {'text': 'things', 'start': 198.239, 'duration': 2.861}, {'text': 'Bax are your smaller and quicker players', 'start': 198.67, 'duration': 5.039}, {'text': 'they line up in a steep line ready to', 'start': 201.1, 'duration': 6.87}, {'text': ""carry pass or kick the ball here's some"", 'start': 203.709, 'duration': 6.481}, {'text': 'more vocabulary you need to know the', 'start': 207.97, 'duration': 7.01}, {'text': 'ruck scrum line out and Maul', 'start': 210.19, 'duration': 4.79}, {'text': 'rocks brooks form when the ball carriers', 'start': 216.81, 'duration': 6.39}, {'text': 'tackled players from both teams quickly', 'start': 220.739, 'duration': 4.651}, {'text': 'engage each other fighting to determine', 'start': 223.2, 'duration': 4.08}, {'text': 'ball possession and continue the flow of', 'start': 225.39, 'duration': 10.62}, {'text': 'the game scrums scrums occur after', 'start': 227.28, 'duration': 10.98}, {'text': 'penalties they consist of eight forwards', 'start': 236.01, 'duration': 4.949}, {'text': 'from each team as both sides engage each', 'start': 238.26, 'duration': 4.29}, {'text': 'other the ball is rolled in from the', 'start': 240.959, 'duration': 3.211}, {'text': 'side and kicked out the back', 'start': 242.55, 'duration': 3.36}, {'text': 'putting the ball back in play in', 'start': 244.17, 'duration': 5.24}, {'text': 'continuing the game line outs', 'start': 245.91, 'duration': 5.909}, {'text': 'line outs occur when the ball goes out', 'start': 249.41, 'duration': 4.389}, {'text': 'of bounds and consists of jumpers and', 'start': 251.819, 'duration': 4.501}, {'text': 'lifters teams call out plays to', 'start': 253.799, 'duration': 3.93}, {'text': 'communicate where they will throw the', 'start': 256.32, 'duration': 7.7}, {'text': 'ball in and then the game continues Moss', 'start': 257.729, 'duration': 8.94}, {'text': 'Moss form when the ball Kerr is unable', 'start': 264.02, 'duration': 5.56}, {'text': 'to be tackled to the ground team members', 'start': 266.669, 'duration': 4.891}, {'text': 'join in and contribute by pushing them', 'start': 269.58, 'duration': 7.53}, {'text': 'all forward so what have we learned', 'start': 271.56, 'duration': 5.91}, {'text': 'today', 'start': 277.11, 'duration': 3.119}, {'text': 'number one rugby is the best sport in', 'start': 277.47, 'duration': 5.25}, {'text': 'the world but also that there are 15', 'start': 280.229, 'duration': 4.381}, {'text': 'players on the field and the objective', 'start': 282.72, 'duration': 4.56}, {'text': 'is to score tries remember the basic', 'start': 284.61, 'duration': 5.64}, {'text': 'rules pass backwards kick forwards and', 'start': 287.28, 'duration': 5.639}, {'text': 'tackle hard also the two basic positions', 'start': 290.25, 'duration': 5.1}, {'text': 'if your big forwards and your small', 'start': 292.919, 'duration': 4.671}, {'text': 'backs and work together to win the ball', 'start': 295.35, 'duration': 4.11}, {'text': 'Brooks scrums', 'start': 297.59, 'duration': 4.21}, {'text': 'line outs and mauls all our unique parts', 'start': 299.46, 'duration': 4.86}, {'text': 'of rugby and keep the ball moving one', 'start': 301.8, 'duration': 5.07}, {'text': 'final note rugby is a game of possession', 'start': 304.32, 'duration': 5.25}, {'text': 'not yardage it often looks messy and', 'start': 306.87, 'duration': 4.39}, {'text': 'confusing but truly is', 'start': 309.57, 'duration': 6.56}, {'text': 'a wonderful sport well there you are', 'start': 311.26, 'duration': 6.76}, {'text': 'we hope that you better understand the', 'start': 316.13, 'duration': 4.2}, {'text': 'sport of rugby now and remember come out', 'start': 318.02, 'duration': 4.02}, {'text': 'and support your Principia Thunder', 'start': 320.33, 'duration': 4.1}, {'text': 'chickens', 'start': 322.04, 'duration': 2.39}]"
Etyr,gEFdcnkoTYM,"[72, 452, 480]",
Xhyr,6eBrzud0Fhg,"[3, 4, 9]",
qiyr,1xfhDYACmYw,"[278, 386]",
gnyr,2-T8OU3ZSfQ,"[136, 396]","[{'text': 'hey guys time to get up', 'start': 0.26, 'duration': 5.85}, {'text': 'morning', 'start': 6.74, 'duration': 3.0}, {'text': 'morning guys', 'start': 10.219, 'duration': 9.601}, {'text': 'hey right', 'start': 13.25, 'duration': 6.57}, {'text': 'you guys want your surprise', 'start': 25.07, 'duration': 3.96}, {'text': 'you guys want your surprise Hey Ryland', 'start': 31.64, 'duration': 19.5}, {'text': ""hey there's some maps on the on the bed"", 'start': 54.379, 'duration': 13.061}, {'text': ""of where we're gonna go today hey you"", 'start': 60.72, 'duration': 8.039}, {'text': ""know maybe if you'd go to bed when we"", 'start': 67.44, 'duration': 2.76}, {'text': ""tell you go to bed you won't be so tired"", 'start': 68.759, 'duration': 3.951}, {'text': 'in the morning', 'start': 70.2, 'duration': 11.25}, {'text': 'what are those maps of look at these', 'start': 72.71, 'duration': 13.439}, {'text': ""maps that's who's that"", 'start': 81.45, 'duration': 8.419}, {'text': 'Kenzie do you know who that is on them', 'start': 86.149, 'duration': 13.931}, {'text': 'who is that well oh well alright mom', 'start': 89.869, 'duration': 11.771}, {'text': ""they don't want to get up guess we're"", 'start': 100.08, 'duration': 5.3}, {'text': 'gonna go to Disney World by ourselves', 'start': 101.64, 'duration': 3.74}, {'text': 'where do you want to go where do you', 'start': 106.189, 'duration': 13.211}, {'text': 'wanna go go where do you want to go look', 'start': 109.38, 'duration': 14.69}, {'text': 'at the maps look at the maps look', 'start': 119.4, 'duration': 8.49}, {'text': 'are you back asleep wow this is not', 'start': 124.07, 'duration': 5.74}, {'text': 'going at all how I thought it would', 'start': 127.89, 'duration': 4.86}, {'text': ""Kenzie you wanna go to Disney World I'll"", 'start': 129.81, 'duration': 9.06}, {'text': 'go see Mickey yeah she said yes who do', 'start': 132.75, 'duration': 7.26}, {'text': ""you want to see if there's new world all"", 'start': 138.87, 'duration': 7.49}, {'text': ""right mom let's go Minnie yeah who else"", 'start': 140.01, 'duration': 6.35}, {'text': 'and Mickey Mouse', 'start': 146.57, 'duration': 7.99}, {'text': ""now hey and Mickey Mouse's dog I want to"", 'start': 150.12, 'duration': 7.08}, {'text': 'say my Aussie goofy you want to say', 'start': 154.56, 'duration': 7.38}, {'text': 'goofy who else is that Disney hey well', 'start': 157.2, 'duration': 13.19}, {'text': 'so that Disney what on it darn it what', 'start': 161.94, 'duration': 8.45}, {'text': 'alright are you excited you know I', 'start': 173.69, 'duration': 5.019}, {'text': 'figured he would have been jumping', 'start': 177.629, 'duration': 4.64}, {'text': 'around doing his oh yeah oh yeah', 'start': 178.709, 'duration': 3.56}, {'text': ""are you ready a dress and it's starting"", 'start': 185.09, 'duration': 25.649}, {'text': 'to sink in are you gonna drive them', 'start': 199.98, 'duration': 10.759}, {'text': ""Cinderella's castle that's where we're"", 'start': 216.59, 'duration': 10.69}, {'text': 'going today Magic Kingdom no and then', 'start': 220.079, 'duration': 9.681}, {'text': ""guess where we're gonna go tomorrow"", 'start': 227.28, 'duration': 6.539}, {'text': ""guess where we're going tomorrow Animal"", 'start': 229.76, 'duration': 10.449}, {'text': ""Kingdom another Disney place we're gonna"", 'start': 233.819, 'duration': 16.89}, {'text': ""go see Mickey's house today mommy we see"", 'start': 240.209, 'duration': 13.46}, {'text': 'a princess every day', 'start': 250.709, 'duration': 2.96}, {'text': ""you know mom I don't think they're"", 'start': 267.46, 'duration': 17.8}, {'text': 'excited enough hey hey sourpuss nobody', 'start': 269.42, 'duration': 23.34}, {'text': ""said you weren't going look at daddy's"", 'start': 285.26, 'duration': 13.77}, {'text': 'shirt what are we both wearing perry the', 'start': 292.76, 'duration': 8.6}, {'text': 'platypus', 'start': 299.03, 'duration': 2.33}, {'text': 'curse you perry the platypus', 'start': 301.72, 'duration': 3.99}, {'text': 'you got this for me yeah Thank You Baby', 'start': 306.22, 'duration': 10.96}, {'text': 'Cakes where are we going today where are', 'start': 309.5, 'duration': 9.33}, {'text': 'we going', 'start': 317.18, 'duration': 8.94}, {'text': 'Nikki now where are we going on where', 'start': 318.83, 'duration': 10.2}, {'text': 'are we going are we going to the house', 'start': 326.12, 'duration': 10.59}, {'text': ""and mouse yeah where are we going we're"", 'start': 329.03, 'duration': 13.35}, {'text': 'going to Walmart we going to Target it', 'start': 336.71, 'duration': 12.93}, {'text': ""looks like a calendar of events we're"", 'start': 342.38, 'duration': 10.289}, {'text': 'gonna go back to sleep test all right', 'start': 349.64, 'duration': 6.35}, {'text': ""we'll see you at Disney"", 'start': 352.669, 'duration': 3.321}]"
