GkEU,6N-HW4nwHM4,[0],
LUCl,zYANRyLubTs,[1629],"[{'text': '[Music]', 'start': 0.0, 'duration': 3.05}, {'text': ""there's one more thing small thing it"", 'start': 3.529, 'duration': 12.4}, {'text': 'pertains to iTunes in the cloud as you', 'start': 13.23, 'duration': 5.309}, {'text': 'recall iTunes in the cloud is just for', 'start': 15.929, 'duration': 4.801}, {'text': ""the music that you've purchased from the"", 'start': 18.539, 'duration': 2.971}, {'text': 'iTunes Store', 'start': 20.73, 'duration': 4.2}, {'text': 'now at 14 billion songs 15 billion', 'start': 21.51, 'duration': 5.339}, {'text': ""excuse me that's a lot of songs out"", 'start': 24.93, 'duration': 2.339}, {'text': 'there', 'start': 26.849, 'duration': 2.731}, {'text': ""they've been purchased from iTunes Music"", 'start': 27.269, 'duration': 5.941}, {'text': 'Store but you may have some that you', 'start': 29.58, 'duration': 7.59}, {'text': ""ripped yourself and there's three ways"", 'start': 33.21, 'duration': 7.259}, {'text': 'you can deal with that one you can sync', 'start': 37.17, 'duration': 7.44}, {'text': 'your new devices over Wi-Fi or cable', 'start': 40.469, 'duration': 6.18}, {'text': 'cable and you only have to sync them', 'start': 44.61, 'duration': 3.629}, {'text': 'once just to get that music on them and', 'start': 46.649, 'duration': 5.221}, {'text': 'then you can rely on iCloud to take care', 'start': 48.239, 'duration': 5.041}, {'text': 'of getting all your new purchases off', 'start': 51.87, 'duration': 6.45}, {'text': ""iTunes onto that device or if it's just"", 'start': 53.28, 'duration': 7.5}, {'text': ""a few songs you love you don't leave"", 'start': 58.32, 'duration': 4.559}, {'text': 'behind you can buy those songs that', 'start': 60.78, 'duration': 5.64}, {'text': ""you'll miss on iTunes we're gonna offer"", 'start': 62.879, 'duration': 7.67}, {'text': 'a third way which is called iTunes Match', 'start': 66.42, 'duration': 8.089}, {'text': 'what does iTunes Match well iTunes Match', 'start': 70.549, 'duration': 8.591}, {'text': ""uses the fact that we've got 18 million"", 'start': 74.509, 'duration': 7.75}, {'text': 'songs now in the iTunes Music Store and', 'start': 79.14, 'duration': 6.24}, {'text': ""the chances are awfully good that we've"", 'start': 82.259, 'duration': 5.79}, {'text': ""got the songs in our store that you've"", 'start': 85.38, 'duration': 6.32}, {'text': 'ripped and so we wrote software to scan', 'start': 88.049, 'duration': 8.791}, {'text': 'those CDs the rip scene on iTunes music', 'start': 91.7, 'duration': 8.98}, {'text': 'and match it up with those songs we have', 'start': 96.84, 'duration': 8.13}, {'text': 'in the store right and so we can give', 'start': 100.68, 'duration': 6.479}, {'text': 'that music the same benefits as music', 'start': 104.97, 'duration': 5.579}, {'text': 'purchase from iTunes and it takes just', 'start': 107.159, 'duration': 6.061}, {'text': 'minutes not weeks if you have to upload', 'start': 110.549, 'duration': 4.71}, {'text': 'your whole library into some Locker in', 'start': 113.22, 'duration': 5.999}, {'text': 'the sky that literally takes weeks this', 'start': 115.259, 'duration': 7.381}, {'text': ""takes minutes because we're scanning and"", 'start': 119.219, 'duration': 5.101}, {'text': ""matching your library so we don't need"", 'start': 122.64, 'duration': 4.68}, {'text': 'to upload that that large part of your', 'start': 124.32, 'duration': 4.859}, {'text': 'library and the few songs that remain', 'start': 127.32, 'duration': 5.7}, {'text': ""well we'll upload them but with 18"", 'start': 129.179, 'duration': 4.531}, {'text': 'million saw', 'start': 133.02, 'duration': 4.46}, {'text': ""most likely to have what you've got"", 'start': 133.71, 'duration': 3.77}, {'text': 'in addition iTunes Match will upgrade', 'start': 142.55, 'duration': 7.32}, {'text': 'those songs that match the 256 kilobits', 'start': 146.99, 'duration': 5.42}, {'text': 'AAC', 'start': 149.87, 'duration': 2.54}, {'text': 'and iTunes Match cost just $24.99 a year', 'start': 158.22, 'duration': 9.27}, {'text': ""so if you've got a bunch of music if"", 'start': 162.39, 'duration': 6.6}, {'text': ""you've got a bunch of music that you"", 'start': 167.49, 'duration': 3.3}, {'text': ""didn't buy from iTunes you can get all"", 'start': 168.99, 'duration': 3.42}, {'text': 'the benefits of the cloud service and', 'start': 170.79, 'duration': 3.87}, {'text': 'more in terms of upgrading your music', 'start': 172.41, 'duration': 5.25}, {'text': 'for $24.99 a year now if you look and', 'start': 174.66, 'duration': 5.07}, {'text': ""compare that to some competitors let's"", 'start': 177.66, 'duration': 4.05}, {'text': 'just look at Apple and Amazon and Google', 'start': 179.73, 'duration': 6.0}, {'text': 'you kind of get surprised because again', 'start': 181.71, 'duration': 6.54}, {'text': 'the library in the cloud we scan and', 'start': 185.73, 'duration': 4.47}, {'text': 'match the other guys you got to upload', 'start': 188.25, 'duration': 4.74}, {'text': ""your whole music library again it's"", 'start': 190.2, 'duration': 8.34}, {'text': 'gonna take weeks music apps on your Mac', 'start': 192.99, 'duration': 8.16}, {'text': ""and PC well you're stuck with a web app"", 'start': 198.54, 'duration': 7.53}, {'text': 'instead of iTunes upgrade to 256', 'start': 201.15, 'duration': 7.2}, {'text': 'kilobits per second the other guys', 'start': 206.07, 'duration': 5.7}, {'text': ""aren't upgrading you at all the annual"", 'start': 208.35, 'duration': 6.65}, {'text': ""price for 5,000 songs we're $24.99"", 'start': 211.77, 'duration': 5.88}, {'text': 'Amazon charges you $50 for the storage', 'start': 215.0, 'duration': 3.91}, {'text': ""and Google hasn't announced their"", 'start': 217.65, 'duration': 5.01}, {'text': 'pricing yet even at 20,000 songs we', 'start': 218.91, 'duration': 6.9}, {'text': ""charge one flat price amazon's up to"", 'start': 222.66, 'duration': 5.73}, {'text': '$200 for the storage and google has an', 'start': 225.81, 'duration': 5.39}, {'text': 'announcer pricing', 'start': 228.39, 'duration': 2.81}]"
uxCl,in3N32dsoY4,"[0, 1, 105, 349, 510, 535, 590]","[{'text': 'hi guys today I want to show you the PSP', 'start': 1.93, 'duration': 7.37}, {'text': '2006 review', 'start': 5.799, 'duration': 3.501}, {'text': 'this is the charger', 'start': 19.63, 'duration': 3.799}, {'text': 'and this is the BSB', 'start': 29.89, 'duration': 3.71}, {'text': 'school our school', 'start': 37.08, 'duration': 4.13}, {'text': 'this is the USB cable that you can', 'start': 48.62, 'duration': 6.829}, {'text': 'connect to the PC', 'start': 52.25, 'duration': 3.199}, {'text': 'exist battery', 'start': 57.27, 'duration': 3.86}, {'text': 'this is the EMD', 'start': 69.83, 'duration': 3.5}, {'text': 'school', 'start': 112.33, 'duration': 3.0}, {'text': 'the small game and you can do the proof', 'start': 131.93, 'duration': 6.75}, {'text': 'be fast recovery so you can find a game', 'start': 135.62, 'duration': 5.57}, {'text': 'easily', 'start': 138.68, 'duration': 2.51}, {'text': 'okay now you stand find the games now', 'start': 156.76, 'duration': 9.86}, {'text': ""so there's got a cape with my manager"", 'start': 162.819, 'duration': 7.17}, {'text': 'street give a straight groan why city', 'start': 166.62, 'duration': 7.83}, {'text': 'gran turismo another war', 'start': 169.989, 'duration': 8.431}, {'text': 'iron man came off fighters Most Wanted', 'start': 174.45, 'duration': 9.31}, {'text': 'taken spider-man tree and smack was a', 'start': 178.42, 'duration': 7.57}, {'text': 'stroll', 'start': 183.76, 'duration': 6.66}, {'text': 'and we can play any games that we want', 'start': 185.99, 'duration': 4.43}, {'text': 'this is the games that are', 'start': 191.86, 'duration': 5.79}, {'text': 'and this is the internet connections', 'start': 195.4, 'duration': 5.52}, {'text': 'remember you want to connect and this is', 'start': 197.65, 'duration': 6.33}, {'text': 'the weight station store or you can buy', 'start': 200.92, 'duration': 6.78}, {'text': ""the games these videos it doesn't have"", 'start': 203.98, 'duration': 6.38}, {'text': 'any videos so musics', 'start': 207.7, 'duration': 6.83}, {'text': 'camera pictures', 'start': 210.36, 'duration': 4.17}, {'text': ""there's my big chores"", 'start': 215.72, 'duration': 3.38}, {'text': ""and that's all so in this PSP this is"", 'start': 234.2, 'duration': 5.67}, {'text': 'the main', 'start': 238.37, 'duration': 6.5}, {'text': ""and let's see for a while was the SP God"", 'start': 239.87, 'duration': 5.0}, {'text': 'PSP', 'start': 249.17, 'duration': 3.0}, {'text': 'favor that we can no PSPs', 'start': 252.379, 'duration': 6.2}, {'text': 'buttons of the PSP this is the charger', 'start': 260.32, 'duration': 6.21}, {'text': 'you can connect on that okay guys thank', 'start': 262.63, 'duration': 5.65}, {'text': 'you', 'start': 266.53, 'duration': 5.76}, {'text': 'thanks for watching please subscribe', 'start': 268.28, 'duration': 4.01}]"
PKCl,3LH3mQptxB8,"[8, 71, 152]",
PECl,T7XVjJ-S3ZQ,"[5, 16, 2475]",
NKCl,yrAPDYZtmlo,"[64, 113, 119, 186, 425]","[{'text': 'Lisa himanshu rank sum vanuatu mera is', 'start': 41.76, 'duration': 8.7}, {'text': 'my furniture and then I canvassize that', 'start': 44.94, 'duration': 8.43}, {'text': 'antenna array be out shortly with micro', 'start': 50.46, 'duration': 9.239}, {'text': 'tree was too much for living for aside', 'start': 53.37, 'duration': 13.73}, {'text': 'normal yeah well our old Roy hide yo get', 'start': 59.699, 'duration': 7.401}, {'text': 'they shall of infirmity kyla', 'start': 72.24, 'duration': 4.55}, {'text': 'for each other', 'start': 91.909, 'duration': 2.661}, {'text': 'nakodar coat', 'start': 124.82, 'duration': 3.3}, {'text': ""that's conserving my directly go home"", 'start': 136.18, 'duration': 5.21}, {'text': 'wearing', 'start': 139.06, 'duration': 2.33}, {'text': 'by sour flakes away the flesh out its', 'start': 143.28, 'duration': 6.289}, {'text': 'members allows', 'start': 146.819, 'duration': 2.75}, {'text': ""what's new"", 'start': 156.569, 'duration': 2.81}, {'text': 'this their bunch other 50 she asked', 'start': 164.05, 'duration': 5.06}, {'text': 'estate oxy', 'start': 166.3, 'duration': 2.81}, {'text': 'mrs. data', 'start': 174.41, 'duration': 4.05}, {'text': 'you', 'start': 185.26, 'duration': 2.059}]"
1HCl,i3LZPmf6A2Y,"[15, 18, 87, 244, 1751]",
rNCl,iMUTQO-mnIg,"[217, 643]","[{'text': 'you', 'start': 251.06, 'duration': 2.06}]"
YNCl,8q9Lhvp-6nQ,"[3, 28, 38]",
VJCl,8xMmXkHKxEU,[61],
KnCl,8xlaLeKGuHk,"[25, 595, 660]",
t1Cl,8yuIhYY7Cn8,[14],
vqCl,,"[0, 1, 63, 167]",
FSCl,8zHoJblRRY4,"[0, 1, 35, 134, 795]",
1OCl,H0Y32dF4ctI,"[0, 27, 3377]",
7GCl,H3kWB_IJO4Y,"[11, 22, 427, 428, 519, 876, 995, 2135]","[{'text': 'all righty chef buck here and today', 'start': 0.0, 'duration': 6.629}, {'text': ""we're cooking red beans and rice with"", 'start': 1.92, 'duration': 7.679}, {'text': ""chorizo and we're doing it in the woods"", 'start': 6.629, 'duration': 4.26}, {'text': ""because we're out here on Appalachian"", 'start': 9.599, 'duration': 5.851}, {'text': ""Trail so you know there ain't a lot to"", 'start': 10.889, 'duration': 7.351}, {'text': 'this recipe all right the first thing', 'start': 15.45, 'duration': 4.11}, {'text': ""we're gonna do we're gonna cook it up in"", 'start': 18.24, 'duration': 4.86}, {'text': 'our little uh wood stove so we got to', 'start': 19.56, 'duration': 4.95}, {'text': 'get our fire going I got a little', 'start': 23.1, 'duration': 3.72}, {'text': 'lighter here because you know this is', 'start': 24.51, 'duration': 3.689}, {'text': 'YouTube and you know I only got a', 'start': 26.82, 'duration': 2.82}, {'text': 'certain amount of time to upload this', 'start': 28.199, 'duration': 4.17}, {'text': ""and if I was doing it with the Flint's"", 'start': 29.64, 'duration': 7.31}, {'text': ""and all that jazz we'd be here all day"", 'start': 32.369, 'duration': 7.231}, {'text': 'all right here camera girl saying fire', 'start': 36.95, 'duration': 5.5}, {'text': 'fire all righty', 'start': 39.6, 'duration': 8.549}, {'text': 'we might have to do a take to this wood', 'start': 42.45, 'duration': 8.67}, {'text': 'stove is actually pretty cool get you', 'start': 48.149, 'duration': 5.16}, {'text': 'going with some leaves then you throw in', 'start': 51.12, 'duration': 9.54}, {'text': 'a few bigger pieces add a little bit of', 'start': 53.309, 'duration': 10.561}, {'text': ""oxygen looks like it's smoking a big"", 'start': 60.66, 'duration': 5.6}, {'text': 'doobie', 'start': 63.87, 'duration': 2.39}, {'text': 'hey but how come you got so many bug', 'start': 67.01, 'duration': 5.16}, {'text': 'bites on your legs', 'start': 69.45, 'duration': 2.72}, {'text': ""my lord you're a fire-breathing dragon"", 'start': 73.49, 'duration': 6.93}, {'text': 'worried about my bug bats', 'start': 76.61, 'duration': 3.81}, {'text': 'do they itch this is a cooking video not', 'start': 83.45, 'duration': 7.29}, {'text': 'a bug bite with you', 'start': 88.079, 'duration': 4.621}, {'text': ""alright so now we're gonna put our"", 'start': 90.74, 'duration': 6.839}, {'text': 'little pot holder on here still cubie', 'start': 92.7, 'duration': 4.879}, {'text': ""lord have mercy that's a little big for"", 'start': 102.619, 'duration': 9.34}, {'text': ""that pot my trail name when I'm hiking"", 'start': 109.439, 'duration': 5.25}, {'text': 'on the trailers big pan on account of I', 'start': 111.959, 'duration': 5.791}, {'text': 'carry this big pot but on the trail you', 'start': 114.689, 'duration': 6.061}, {'text': ""don't want to call yourself big pot you"", 'start': 117.75, 'duration': 7.409}, {'text': 'know it creates an expectation so anyway', 'start': 120.75, 'duration': 7.44}, {'text': 'we want to put our pan right over our', 'start': 125.159, 'duration': 5.761}, {'text': 'fire and I think it calls for two cups', 'start': 128.19, 'duration': 8.97}, {'text': 'of water so 16 ounces so but this size', 'start': 130.92, 'duration': 9.21}, {'text': 'stove has a little door on the side or a', 'start': 137.16, 'duration': 4.38}, {'text': 'little opening in the side where you can', 'start': 140.13, 'duration': 6.57}, {'text': 'throw more twigs in there you see keep', 'start': 141.54, 'duration': 9.15}, {'text': ""that fire wrong now we don't want to"", 'start': 146.7, 'duration': 5.58}, {'text': ""burn up the whole forest to do it so I'm"", 'start': 150.69, 'duration': 3.93}, {'text': 'gonna go ahead cover will it come to a', 'start': 152.28, 'duration': 5.88}, {'text': 'ball faster give my fire stoked like', 'start': 154.62, 'duration': 8.78}, {'text': ""Casey Jones oh it's going alrighty so"", 'start': 158.16, 'duration': 7.65}, {'text': ""water is already boiling didn't take"", 'start': 163.4, 'duration': 8.8}, {'text': 'very long for that so we got a Cajun', 'start': 165.81, 'duration': 8.94}, {'text': 'sides red beans and nice you see this', 'start': 172.2, 'duration': 4.05}, {'text': ""glove this ain't a Michael Jackson thing"", 'start': 174.75, 'duration': 3.81}, {'text': 'this is like my pot holder you know when', 'start': 176.25, 'duration': 4.079}, {'text': ""I'm camping because you see because I'm"", 'start': 178.56, 'duration': 3.269}, {'text': 'an efficient camper I took all the', 'start': 180.329, 'duration': 4.171}, {'text': 'handles and knobs and all the extra', 'start': 181.829, 'duration': 5.511}, {'text': 'cosmetic doohickeys off my pants', 'start': 184.5, 'duration': 7.47}, {'text': ""your awesome book thank you so we'll"", 'start': 187.34, 'duration': 8.25}, {'text': 'throw our red beans and rice in there', 'start': 191.97, 'duration': 6.57}, {'text': ""Torito Torito you're a loser hold your"", 'start': 195.59, 'duration': 9.67}, {'text': ""chorizo britches here hmm hmm there's"", 'start': 198.54, 'duration': 8.63}, {'text': 'that smell delicious', 'start': 205.26, 'duration': 6.089}, {'text': 'wood smoke burning pot yeah smells like', 'start': 207.17, 'duration': 6.069}, {'text': 'wood smoke and burning pot and maybe', 'start': 211.349, 'duration': 5.64}, {'text': 'faintly a slight hint of red beans and', 'start': 213.239, 'duration': 4.201}, {'text': 'rice', 'start': 216.989, 'duration': 2.701}, {'text': ""I got to watch out it'll knock my damn"", 'start': 217.44, 'duration': 5.04}, {'text': 'pot oh all right so to enhance our red', 'start': 219.69, 'duration': 3.99}, {'text': ""beans and rice we're gonna put a little"", 'start': 222.48, 'duration': 3.93}, {'text': 'bit of chorizo in here little uh dried', 'start': 223.68, 'duration': 5.669}, {'text': ""sausage smoked and I'm gonna cut up with"", 'start': 226.41, 'duration': 4.439}, {'text': ""some scissors cuz when I'm hiking you"", 'start': 229.349, 'duration': 3.241}, {'text': ""know I don't carry at night I always"", 'start': 230.849, 'duration': 3.301}, {'text': 'carry a big pair of scissors cuz you', 'start': 232.59, 'duration': 2.85}, {'text': 'know a pair of scissors is like two', 'start': 234.15, 'duration': 7.86}, {'text': 'knives in love that was ad-lib and I was', 'start': 235.44, 'duration': 11.4}, {'text': 'on top my head so there you go go ahead', 'start': 242.01, 'duration': 6.63}, {'text': 'and cut you a little bit of tree so up', 'start': 246.84, 'duration': 5.67}, {'text': 'in it and make sure you get it all in', 'start': 248.64, 'duration': 7.469}, {'text': ""the pot so you don't have any varmints"", 'start': 252.51, 'duration': 5.699}, {'text': 'coming around your camp in the middle of', 'start': 256.109, 'duration': 4.651}, {'text': 'the night did you get a shot of the', 'start': 258.209, 'duration': 4.471}, {'text': ""can't give a shot of that give a shot of"", 'start': 260.76, 'duration': 3.36}, {'text': ""the chef about kitchen where we're"", 'start': 262.68, 'duration': 6.27}, {'text': 'cooking here no fancy paints teaching', 'start': 264.12, 'duration': 8.37}, {'text': 'today on natural we got a little', 'start': 268.95, 'duration': 5.25}, {'text': 'babbling brook over there but it makes', 'start': 272.49, 'duration': 3.33}, {'text': ""so much noise you know we couldn't do it"", 'start': 274.2, 'duration': 2.88}, {'text': ""by the brook you wouldn't be able to"", 'start': 275.82, 'duration': 4.05}, {'text': 'hear you know the intricacies of this', 'start': 277.08, 'duration': 4.799}, {'text': 'recipe', 'start': 279.87, 'duration': 5.009}, {'text': 'I have to say this solo stove works', 'start': 281.879, 'duration': 5.19}, {'text': ""pretty good and it's lightweight and"", 'start': 284.879, 'duration': 12.78}, {'text': ""it's lightweight so writing we got our"", 'start': 287.069, 'duration': 15.06}, {'text': ""rice we got our treat so in there let's"", 'start': 297.659, 'duration': 6.111}, {'text': 'see', 'start': 302.129, 'duration': 3.87}, {'text': ""check bug don't normally make this stuff"", 'start': 303.77, 'duration': 5.28}, {'text': ""so he's got a look at the directions"", 'start': 305.999, 'duration': 7.801}, {'text': 'already hi Ronnie', 'start': 309.05, 'duration': 7.449}, {'text': ""we'll come back in seven minutes and see"", 'start': 313.8, 'duration': 5.359}, {'text': 'what it looks like', 'start': 316.499, 'duration': 2.66}, {'text': ""that's how you wash dishes when you're"", 'start': 328.22, 'duration': 7.47}, {'text': ""in the woods okay it's been a seven or"", 'start': 330.05, 'duration': 7.04}, {'text': 'eight minutes or something like that', 'start': 335.69, 'duration': 3.69}, {'text': ""we've had a lot of high drama here"", 'start': 337.09, 'duration': 5.71}, {'text': 'around the camp so we lost count but I', 'start': 339.38, 'duration': 4.8}, {'text': ""think that's good enough so I'm going to"", 'start': 342.8, 'duration': 3.53}, {'text': 'go ahead and get it off the fire and', 'start': 344.18, 'duration': 5.43}, {'text': ""then we're supposed to let it sit for a"", 'start': 346.33, 'duration': 4.54}, {'text': ""couple of minutes I'm going to let this"", 'start': 349.61, 'duration': 4.44}, {'text': 'thing burn out and cool down man because', 'start': 350.87, 'duration': 5.63}, {'text': ""if I grab that I'd be hollering like a"", 'start': 354.05, 'duration': 4.56}, {'text': 'like somebody just got burned in the', 'start': 356.5, 'duration': 7.57}, {'text': ""middle of the woods looks like it's done"", 'start': 358.61, 'duration': 9.12}, {'text': 'apart riding so I got to give a camera', 'start': 364.07, 'duration': 9.21}, {'text': 'girl her little portion here all right', 'start': 367.73, 'duration': 8.94}, {'text': 'today you gonna camera girl mmm this is', 'start': 373.28, 'duration': 6.54}, {'text': 'what I get I get you know money and', 'start': 376.67, 'duration': 5.55}, {'text': ""that's it man red beans and rice with"", 'start': 379.82, 'duration': 4.59}, {'text': 'chorizo from the Appalachian Trail you', 'start': 382.22, 'duration': 5.04}, {'text': 'know give it a try and let me know what', 'start': 384.41, 'duration': 6.71}, {'text': 'you think of Bon Appetit', 'start': 387.26, 'duration': 3.86}, {'text': ""well I'd have to say was a success how"", 'start': 393.999, 'duration': 8.79}, {'text': 'was a camera girl big thumbs up to the', 'start': 398.769, 'duration': 6.72}, {'text': 'red beans and rice and the air', 'start': 402.789, 'duration': 5.34}, {'text': 'conditioned and the air conditioned', 'start': 405.489, 'duration': 7.04}, {'text': ""stream well that's it"", 'start': 408.129, 'duration': 10.13}, {'text': 'chef buck cooking on Appalachian Trail', 'start': 412.529, 'duration': 5.73}]"
