siBe,4rn0t6RvCa8,"[730, 2415]",
KaCZ,e9sU3cu8tW4,"[21, 23, 24, 758]","[{'text': 'hey everybody come here for crackberry', 'start': 8.66, 'duration': 3.91}, {'text': ""com we're live on location in san jose"", 'start': 10.769, 'duration': 5.34}, {'text': ""at blackberry jam America's 2012 with"", 'start': 12.57, 'duration': 5.82}, {'text': ""Michael clearly Michael we've got here"", 'start': 16.109, 'duration': 5.071}, {'text': 'the blackberry 10 dev alpha be device', 'start': 18.39, 'duration': 5.34}, {'text': ""and I'm alpha buco you guys are showing"", 'start': 21.18, 'duration': 4.74}, {'text': 'us a little bit more of blackberry 10', 'start': 23.73, 'duration': 3.78}, {'text': ""than we've seen in the past and and some"", 'start': 25.92, 'duration': 3.119}, {'text': 'changes from what we saw a BB world', 'start': 27.51, 'duration': 4.08}, {'text': 'right yeah so at blackberry world back', 'start': 29.039, 'duration': 5.941}, {'text': 'in May we actually had the universal', 'start': 31.59, 'duration': 5.73}, {'text': ""inbox on the right we've actually moved"", 'start': 34.98, 'duration': 3.989}, {'text': 'it over to the left here so I can peek', 'start': 37.32, 'duration': 4.43}, {'text': 'into the universal inbox from this side', 'start': 38.969, 'duration': 5.641}, {'text': ""additionally we've moved the apps to be"", 'start': 41.75, 'duration': 5.59}, {'text': 'all horizontal instead of vertical and', 'start': 44.61, 'duration': 5.879}, {'text': 'this blends well for a mobile user who', 'start': 47.34, 'duration': 5.43}, {'text': 'wants to use device all the time it', 'start': 50.489, 'duration': 5.16}, {'text': 'actually makes that peak gesture to pull', 'start': 52.77, 'duration': 4.89}, {'text': 'in the universal inbox really really', 'start': 55.649, 'duration': 3.511}, {'text': ""sure because if I'm holding it the"", 'start': 57.66, 'duration': 4.469}, {'text': 'device with my one hand here right and I', 'start': 59.16, 'duration': 5.7}, {'text': 'want to come in this is more of like a', 'start': 62.129, 'duration': 4.711}, {'text': ""polling it's almost like the inbox or"", 'start': 64.86, 'duration': 4.32}, {'text': ""the hub right it's called the hub now"", 'start': 66.84, 'duration': 6.569}, {'text': 'yeah you beat me to the Thunder so we', 'start': 69.18, 'duration': 5.549}, {'text': ""don't call it the universal inbox"", 'start': 73.409, 'duration': 3.721}, {'text': ""anymore it's actually the BlackBerry hub"", 'start': 74.729, 'duration': 4.771}, {'text': 'and and we wanted to give a name to', 'start': 77.13, 'duration': 4.44}, {'text': 'something that is really truly black', 'start': 79.5, 'duration': 4.71}, {'text': 'very experienced all of your messaging', 'start': 81.57, 'duration': 5.01}, {'text': 'all of your social everything goes into', 'start': 84.21, 'duration': 5.369}, {'text': ""that one location BBM's text messages"", 'start': 86.58, 'duration': 5.81}, {'text': 'social messages Twitter mentions', 'start': 89.579, 'duration': 5.281}, {'text': 'facebook friends ads everything all in', 'start': 92.39, 'duration': 5.47}, {'text': 'one stop location but the hub is so much', 'start': 94.86, 'duration': 5.67}, {'text': 'more I can pull down from the top within', 'start': 97.86, 'duration': 5.16}, {'text': 'the hub and reveal my upcoming calendar', 'start': 100.53, 'duration': 4.68}, {'text': 'appointments how great is that I mean it', 'start': 103.02, 'duration': 5.19}, {'text': 'gives me a 360 view of everything around', 'start': 105.21, 'duration': 6.36}, {'text': 'me not just my messaging but my life in', 'start': 108.21, 'duration': 5.13}, {'text': ""the day you're right so universal inbox"", 'start': 111.57, 'duration': 3.27}, {'text': ""just doesn't cut it anymore it's much"", 'start': 113.34, 'duration': 3.029}, {'text': ""more than that it's more than that make"", 'start': 114.84, 'duration': 3.87}, {'text': 'sense and make sense with the gesture to', 'start': 116.369, 'duration': 3.721}, {'text': ""write because it's almost like this is"", 'start': 118.71, 'duration': 3.54}, {'text': ""always there underneath anything you're"", 'start': 120.09, 'duration': 3.84}, {'text': 'doing and if you just kind of pull it', 'start': 122.25, 'duration': 3.21}, {'text': ""away you know you're moving your app"", 'start': 123.93, 'duration': 2.549}, {'text': ""that you're in out of the weight and"", 'start': 125.46, 'duration': 2.43}, {'text': ""you're seeing what's there versus before"", 'start': 126.479, 'duration': 3.45}, {'text': 'your kind of pushing it on top yeah like', 'start': 127.89, 'duration': 3.66}, {'text': ""it's a smart change I mean"", 'start': 129.929, 'duration': 4.561}, {'text': 'time is really all about the the gesture', 'start': 131.55, 'duration': 5.31}, {'text': ""movement and how it's easy for you to"", 'start': 134.49, 'duration': 5.18}, {'text': 'use your fingers your thumbs as a', 'start': 136.86, 'duration': 6.39}, {'text': 'navigation input for a blackberry 10', 'start': 139.67, 'duration': 5.89}, {'text': ""device cool so let's go back to the home"", 'start': 143.25, 'duration': 6.06}, {'text': 'screen experience here and I noticed you', 'start': 145.56, 'duration': 5.49}, {'text': 'can actually if you can swipe through', 'start': 149.31, 'duration': 3.99}, {'text': 'all your your apps right or you can', 'start': 151.05, 'duration': 3.81}, {'text': 'actually jump around if you want to', 'start': 153.3, 'duration': 4.29}, {'text': 'write exactly again allows you to quick', 'start': 154.86, 'duration': 5.64}, {'text': 'access to the pains my personal favorite', 'start': 157.59, 'duration': 5.4}, {'text': 'is you press and hold and the faster you', 'start': 160.5, 'duration': 4.65}, {'text': 'swipe the fast off the grids kind of', 'start': 162.99, 'duration': 3.9}, {'text': 'move so I can go at by app and move', 'start': 165.15, 'duration': 4.05}, {'text': 'along or I can kind of zoom through them', 'start': 166.89, 'duration': 4.53}, {'text': 'and get to inform it very cool and then', 'start': 169.2, 'duration': 6.32}, {'text': 'I also heard so if we open a app up here', 'start': 171.42, 'duration': 9.3}, {'text': 'when we minimize this go for the bottom', 'start': 175.52, 'duration': 7.78}, {'text': ""so there's name for this now yeah and"", 'start': 180.72, 'duration': 4.05}, {'text': ""actually i'll show you one that really"", 'start': 183.3, 'duration': 3.81}, {'text': ""showcases it off it's called active"", 'start': 184.77, 'duration': 3.96}, {'text': 'frames so when we minimize the', 'start': 187.11, 'duration': 5.67}, {'text': 'application there we go you see that', 'start': 188.73, 'duration': 7.86}, {'text': 'when I minimizes BBM it actually adapted', 'start': 192.78, 'duration': 7.53}, {'text': 'and gave me specific information to that', 'start': 196.59, 'duration': 6.63}, {'text': 'application so BBM it rotates through', 'start': 200.31, 'duration': 5.73}, {'text': 'status updates it rotates through when', 'start': 203.22, 'duration': 4.67}, {'text': 'my friends change their profile pictures', 'start': 206.04, 'duration': 4.89}, {'text': 'for calendar it actually minimizes and', 'start': 207.89, 'duration': 5.86}, {'text': 'shows me upcoming appointments or', 'start': 210.93, 'duration': 4.74}, {'text': 'whatever happens to be on my schedule', 'start': 213.75, 'duration': 4.29}, {'text': 'something like whether it shows me the', 'start': 215.67, 'duration': 3.87}, {'text': 'weather forecast for today or the', 'start': 218.04, 'duration': 3.21}, {'text': 'current weather and then a short term', 'start': 219.54, 'duration': 3.87}, {'text': 'you know afternoon evening type weather', 'start': 221.25, 'duration': 3.39}, {'text': ""as well and that's something that"", 'start': 223.41, 'duration': 3.51}, {'text': 'developers can you know build in right', 'start': 224.64, 'duration': 3.87}, {'text': ""it's like a second state to the rap oh"", 'start': 226.92, 'duration': 3.84}, {'text': ""yeah exactly with the api's that we have"", 'start': 228.51, 'duration': 4.68}, {'text': 'available that are coming out with the', 'start': 230.76, 'duration': 6.479}, {'text': 'the dev alpha be this week at a biker 10', 'start': 233.19, 'duration': 7.26}, {'text': 'gem america the sdk fully has that to', 'start': 237.239, 'duration': 4.981}, {'text': ""frame api's for developers to you very"", 'start': 240.45, 'duration': 3.539}, {'text': ""cool and I've noticed so with this"", 'start': 242.22, 'duration': 3.239}, {'text': ""preview we're getting a better look at"", 'start': 243.989, 'duration': 4.081}, {'text': 'some of the blackberry tangible that', 'start': 245.459, 'duration': 4.621}, {'text': 'one-handed ease of use right and I', 'start': 248.07, 'duration': 3.99}, {'text': 'noticed in some of the UI like even in', 'start': 250.08, 'duration': 3.87}, {'text': 'the web browser you made a little clever', 'start': 252.06, 'duration': 4.29}, {'text': 'change with with where things are', 'start': 253.95, 'duration': 5.49}, {'text': 'located yeah I mean if you if you take a', 'start': 256.35, 'duration': 5.13}, {'text': 'look at some of the', 'start': 259.44, 'duration': 4.68}, {'text': 'applications one of the the common UI', 'start': 261.48, 'duration': 6.3}, {'text': 'frameworks or the UI principles that we', 'start': 264.12, 'duration': 5.64}, {'text': 'use is at the bottom of the application', 'start': 267.78, 'duration': 5.49}, {'text': 'we have kind of the action area in the', 'start': 269.76, 'duration': 5.97}, {'text': ""browser it's your your your toolbar your"", 'start': 273.27, 'duration': 5.79}, {'text': 'back button a year on entry field but at', 'start': 275.73, 'duration': 4.8}, {'text': 'the bottom right-hand corner here we', 'start': 279.06, 'duration': 2.7}, {'text': 'have these three dots and that', 'start': 280.53, 'duration': 3.84}, {'text': ""symbolizes your menu to get more so it's"", 'start': 281.76, 'duration': 4.92}, {'text': 'at what we call the crosscut menu and it', 'start': 284.37, 'duration': 4.29}, {'text': 'quickly swipe Singh to bring you', 'start': 286.68, 'duration': 4.86}, {'text': 'additional things that you can do within', 'start': 288.66, 'duration': 5.31}, {'text': ""that application and of course it'll be"", 'start': 291.54, 'duration': 4.71}, {'text': 'contact specific so if I was to press', 'start': 293.97, 'duration': 3.99}, {'text': 'and hold on an email and the BlackBerry', 'start': 296.25, 'duration': 3.63}, {'text': 'hub it would give me items that are', 'start': 297.96, 'duration': 4.98}, {'text': 'specific to share that email message', 'start': 299.88, 'duration': 5.25}, {'text': 'reply forward delete whatever it happens', 'start': 302.94, 'duration': 4.23}, {'text': 'to be cool so our menus are there when', 'start': 305.13, 'duration': 3.72}, {'text': ""we need them and they're nicely located"", 'start': 307.17, 'duration': 4.41}, {'text': 'quick to get to exact I like on the web', 'start': 308.85, 'duration': 4.47}, {'text': 'browser here even you know normally in a', 'start': 311.58, 'duration': 3.51}, {'text': 'web browser you see this at the top but', 'start': 313.32, 'duration': 3.42}, {'text': ""you're always reaching up right these"", 'start': 315.09, 'duration': 3.0}, {'text': ""screens are big I think that's just a"", 'start': 316.74, 'duration': 3.87}, {'text': 'brilliant little change there too to put', 'start': 318.09, 'duration': 4.11}, {'text': ""it right where you where you're going to"", 'start': 320.61, 'duration': 3.48}, {'text': ""be tapping yeah and it's it all comes"", 'start': 322.2, 'duration': 3.96}, {'text': 'back down to the design principle of', 'start': 324.09, 'duration': 4.74}, {'text': 'content is king as well making sure that', 'start': 326.16, 'duration': 5.82}, {'text': 'what we have on the screen is for the', 'start': 328.83, 'duration': 5.37}, {'text': 'content that the user wants to see and', 'start': 331.98, 'duration': 4.35}, {'text': 'not the controls and all the things that', 'start': 334.2, 'duration': 4.41}, {'text': 'may get in the way of the experience at', 'start': 336.33, 'duration': 4.11}, {'text': ""the end of the day cool and I'm try"", 'start': 338.61, 'duration': 4.41}, {'text': 'thank last thing BBM right eye is is', 'start': 340.44, 'duration': 5.58}, {'text': 'amped up for blackberry 10 of course we', 'start': 343.02, 'duration': 5.37}, {'text': ""couldn't do a video on blackberry time"", 'start': 346.02, 'duration': 4.35}, {'text': 'without talking about BBM right Kevin', 'start': 348.39, 'duration': 4.38}, {'text': ""right so we've really updated the look"", 'start': 350.37, 'duration': 6.12}, {'text': 'and feel to BBM easy access to the chats', 'start': 352.77, 'duration': 6.69}, {'text': 'with in BBM not only is it single', 'start': 356.49, 'duration': 5.19}, {'text': 'conversations but group conversations', 'start': 359.46, 'duration': 5.52}, {'text': 'and BBM group conversations in addition', 'start': 361.68, 'duration': 5.67}, {'text': 'to that easy way to get contacts and we', 'start': 364.98, 'duration': 5.37}, {'text': 'have this new nice avatar grid view of', 'start': 367.35, 'duration': 6.48}, {'text': 'your contacts and last but not least and', 'start': 370.35, 'duration': 5.82}, {'text': ""really cool is we've updated BBM groups"", 'start': 373.83, 'duration': 6.3}, {'text': ""oh so we've integrated that a home"", 'start': 376.17, 'duration': 6.999}, {'text': 'screen actor frame experience', 'start': 380.13, 'duration': 4.96}, {'text': 'this angle is killing me Kevin oh where', 'start': 383.169, 'duration': 5.041}, {'text': 'is this actor frame experience with your', 'start': 385.09, 'duration': 7.74}, {'text': ""grids into BBM groups's so you have your"", 'start': 388.21, 'duration': 7.5}, {'text': 'live chats to your pictures your lists', 'start': 392.83, 'duration': 5.339}, {'text': 'and your events and whenever something', 'start': 395.71, 'duration': 4.56}, {'text': 'is updated in that area you see that', 'start': 398.169, 'duration': 3.96}, {'text': 'content so if i send a new picture in my', 'start': 400.27, 'duration': 3.929}, {'text': ""group that's the last picture i see if a"", 'start': 402.129, 'duration': 3.9}, {'text': 'chat happens you get that real-time', 'start': 404.199, 'duration': 4.261}, {'text': 'information without you even having to', 'start': 406.029, 'duration': 5.01}, {'text': ""open up the thread there I'm it's always"", 'start': 408.46, 'duration': 4.229}, {'text': ""in so that's what we mean by always in"", 'start': 411.039, 'duration': 4.68}, {'text': 'and the flow and the foe I like it I I', 'start': 412.689, 'duration': 5.04}, {'text': ""think that covers it that's a great walk"", 'start': 415.719, 'duration': 4.801}, {'text': 'through of you know everything new we', 'start': 417.729, 'duration': 4.41}, {'text': ""get to see this week but I know there's"", 'start': 420.52, 'duration': 3.929}, {'text': ""so much more there right so it's this is"", 'start': 422.139, 'duration': 3.96}, {'text': ""awesome well what's what's really"", 'start': 424.449, 'duration': 2.94}, {'text': ""exciting about what we're showing off"", 'start': 426.099, 'duration': 4.41}, {'text': 'this week Kevin is that developers get', 'start': 427.389, 'duration': 6.39}, {'text': 'the OS in the dev alpha B and and dev', 'start': 430.509, 'duration': 5.37}, {'text': 'alpha updates as well so they get the', 'start': 433.779, 'duration': 4.35}, {'text': 'blackberry 10 home and they get contacts', 'start': 435.879, 'duration': 3.78}, {'text': 'they get calendars they get the browser', 'start': 438.129, 'duration': 4.801}, {'text': ""they give BBM they get app world it's"", 'start': 439.659, 'duration': 5.641}, {'text': ""just great awesome there's gonna be lots"", 'start': 442.93, 'duration': 3.75}, {'text': 'of happy developers out there a lot of', 'start': 445.3, 'duration': 3.269}, {'text': 'people in crackberry nation who are like', 'start': 446.68, 'duration': 3.78}, {'text': ""I want it now but that's cool okay"", 'start': 448.569, 'duration': 3.12}, {'text': 'really appreciate it thanks so much', 'start': 450.46, 'duration': 3.859}, {'text': 'anytime good', 'start': 451.689, 'duration': 2.63}, {'text': 'you', 'start': 459.969, 'duration': 2.06}]"
lbCZ,XxKZjSdJH7I,"[0, 12]",
PwCZ,XzHo2v7uIn8,[11],
7MCZ,tqUV08PP0GU,"[2, 7, 26]",
OtCZ,tuQpW0H_T6k,"[28, 33, 38, 78, 86]",
kjCZ,tvokeFQeElc,[389],
xrCZ,FN-VNSRup0Y,"[1, 25]",
VpCZ,aet7EPCm74s,[210],
GuCZ,RU4S-MVhwEo,[66],
NRCZ,YRJZsX9aSuM,"[0, 1, 35, 2010]",
W0CZ,NKjSViexDFI,[8],
sDCZ,NM_7j6ZlDJU,[16],"[{'text': 'I renita correspond Kyle alum breeze', 'start': 0.0, 'duration': 4.429}, {'text': 'otra noche tranquille enfant the bikini', 'start': 10.88, 'duration': 7.38}, {'text': 'is cooking a turkey lead a tropical', 'start': 13.889, 'duration': 4.371}, {'text': ""okie to me that's here"", 'start': 49.969, 'duration': 4.86}, {'text': ""I'll get into good girl"", 'start': 57.46, 'duration': 4.02}, {'text': ""they'll be it a man sat or the little"", 'start': 70.56, 'duration': 7.3}, {'text': 'blonde boy succumb your puzzle in an', 'start': 75.1, 'duration': 28.89}, {'text': 'army realtor lingo completa spas todo', 'start': 77.86, 'duration': 34.11}, {'text': 'soonest angry who cares estas fotos the', 'start': 103.99, 'duration': 11.31}, {'text': 'variables of sandusky joe rogan amigos', 'start': 111.97, 'duration': 5.49}, {'text': 'the video most tomorrow and obey bikini', 'start': 115.3, 'duration': 6.87}, {'text': 'llevar la otro lado SI j is blow', 'start': 117.46, 'duration': 13.35}, {'text': 'sufficient msk java palma almost a year', 'start': 122.17, 'duration': 15.56}, {'text': 'by a fresh air no I to Paris pasta', 'start': 130.81, 'duration': 6.92}, {'text': 'ru mine Ewing este lugar C alpha gracias', 'start': 144.42, 'duration': 9.94}, {'text': 'Padre salon brace for sin ESO SI tienes', 'start': 150.689, 'duration': 7.72}, {'text': 'suficiente dinero para no no that comes', 'start': 154.36, 'duration': 8.7}, {'text': ""to hear i'm using comedy yeah prefiero"", 'start': 158.409, 'duration': 23.071}, {'text': 'que su dinero so logo gaba con el drama', 'start': 163.06, 'duration': 37.25}, {'text': 'del momento para aya', 'start': 181.48, 'duration': 18.83}, {'text': 'receita no sabes de lo que tem Freitas', 'start': 208.06, 'duration': 6.31}, {'text': 'ya viene Alaska es una low price nada', 'start': 210.74, 'duration': 6.6}, {'text': 'bueno yo no sé nada cerca de la scoprire', 'start': 214.37, 'duration': 8.51}, {'text': 'observa ma ha co dominoes', 'start': 217.34, 'duration': 5.54}]"
0sCZ,NPiu3-Uvk6E,"[68, 72, 98]",
sfCZ,,"[0, 1, 3170]",
0OCZ,QOuUJnhemYY,"[21, 23, 461, 1325]",
SgCZ,jZu94xVJRPw,[1654],
WiCZ,-61et66nN2k,"[239, 1098]","[{'text': ""welcome back to the soul okay y'all this"", 'start': 0.62, 'duration': 12.91}, {'text': ""one's for him Ian hunt and kill up hi"", 'start': 10.86, 'duration': 5.279}, {'text': ""James you're gonna really like this this"", 'start': 13.53, 'duration': 5.909}, {'text': 'is how you make a halt grub get a piece', 'start': 16.139, 'duration': 6.871}, {'text': 'of carpet now preferably just grab that', 'start': 19.439, 'duration': 5.131}, {'text': 'throw rug your wife insists on throwing', 'start': 23.01, 'duration': 4.2}, {'text': 'on the wooden floor or tile floor after', 'start': 24.57, 'duration': 5.43}, {'text': 'you put it in to pick that sucker up and', 'start': 27.21, 'duration': 4.799}, {'text': 'drag it to the deer lease what you want', 'start': 30.0, 'duration': 5.19}, {'text': 'to do is pour oil and grease all over', 'start': 32.009, 'duration': 6.57}, {'text': 'this carpet East Texas the Hogs will rub', 'start': 35.19, 'duration': 5.1}, {'text': ""on pine trees and get that resin that's"", 'start': 38.579, 'duration': 4.8}, {'text': 'at all in their fur and then rub in mud', 'start': 40.29, 'duration': 5.73}, {'text': 'and makes a bunch of layers down here', 'start': 43.379, 'duration': 5.16}, {'text': 'they rub on the power lines and get the', 'start': 46.02, 'duration': 5.19}, {'text': 'creosote out of the power poles I mean', 'start': 48.539, 'duration': 4.141}, {'text': 'some of the some of the power poles down', 'start': 51.21, 'duration': 4.65}, {'text': ""here but they're real Tory got a"", 'start': 52.68, 'duration': 5.519}, {'text': 'two-foot trench all the way around okay', 'start': 55.86, 'duration': 4.289}, {'text': 'all this one of the power lines at the', 'start': 58.199, 'duration': 6.03}, {'text': 'Hogs rub on as you tell they get it all', 'start': 60.149, 'duration': 6.931}, {'text': 'wallet out down here and it goes back', 'start': 64.229, 'duration': 6.781}, {'text': 'over to there but you can see all the', 'start': 67.08, 'duration': 5.67}, {'text': 'mud marks and everything where they rub', 'start': 71.01, 'duration': 3.33}, {'text': 'up and down on there again that creosote', 'start': 72.75, 'duration': 3.27}, {'text': ""off we're going to do is make a fake one"", 'start': 74.34, 'duration': 5.31}, {'text': 'fill this with oil grease everything', 'start': 76.02, 'duration': 6.239}, {'text': ""else and then we're going to wrap it"", 'start': 79.65, 'duration': 5.219}, {'text': 'around a tree mail it to the tree and', 'start': 82.259, 'duration': 4.411}, {'text': ""then they'll come in and start rubbing"", 'start': 84.869, 'duration': 3.811}, {'text': 'on it like they normally would on the', 'start': 86.67, 'duration': 4.8}, {'text': 'power pole or pine tree k all what i did', 'start': 88.68, 'duration': 4.829}, {'text': ""is i've been cleaning up my father's"", 'start': 91.47, 'duration': 5.609}, {'text': 'garage and he had everything known to', 'start': 93.509, 'duration': 8.011}, {'text': 'man in there I mean gear lube you want', 'start': 97.079, 'duration': 7.561}, {'text': 'thick oil so just go through your garage', 'start': 101.52, 'duration': 5.4}, {'text': ""I'm sure everybody's got fifty thousand"", 'start': 104.64, 'duration': 5.82}, {'text': 'cans of half cans of oil bearing grease', 'start': 106.92, 'duration': 7.8}, {'text': 'and everything else in their garage and', 'start': 110.46, 'duration': 6.6}, {'text': ""just that's what you want to do you want"", 'start': 114.72, 'duration': 3.3}, {'text': 'to put it on that you want this thing', 'start': 117.06, 'duration': 4.32}, {'text': ""totally saturated so that it's just full"", 'start': 118.02, 'duration': 6.33}, {'text': ""of oil like an old oily rag that's just"", 'start': 121.38, 'duration': 4.769}, {'text': ""been dipped in oil that's what you want"", 'start': 124.35, 'duration': 4.799}, {'text': ""this carpet to look like now I'm going"", 'start': 126.149, 'duration': 5.34}, {'text': ""to keep putting this on and we'll move"", 'start': 129.149, 'duration': 4.101}, {'text': 'on to something else here in a second', 'start': 131.489, 'duration': 4.231}, {'text': 'the older nastier if you do an oil', 'start': 133.25, 'duration': 4.54}, {'text': 'change or something you might want to', 'start': 135.72, 'duration': 5.79}, {'text': 'use that oil is it smells bark to them', 'start': 137.79, 'duration': 6.39}, {'text': ""and you just can't beat it now this"", 'start': 141.51, 'duration': 3.78}, {'text': 'stuff is running right through and', 'start': 144.18, 'duration': 3.36}, {'text': ""that's why I put it over a barrel so"", 'start': 145.29, 'duration': 5.88}, {'text': 'that it will I can shove it down on the', 'start': 147.54, 'duration': 8.58}, {'text': 'barrel and mix it you know and to', 'start': 151.17, 'duration': 6.87}, {'text': 'reabsorb it just keep read umping it on', 'start': 156.12, 'duration': 4.11}, {'text': ""there until it's totally saturated then"", 'start': 158.04, 'duration': 3.21}, {'text': ""what I'm going to do is put it in a"", 'start': 160.23, 'duration': 6.6}, {'text': 'plastic bag to transport it and then', 'start': 161.25, 'duration': 7.05}, {'text': ""tomorrow I'm just going to hammer it on"", 'start': 166.83, 'duration': 3.42}, {'text': ""the tree and hopefully we'll have some"", 'start': 168.3, 'duration': 6.0}, {'text': 'good results hey that carpets soaking it', 'start': 170.25, 'duration': 6.269}, {'text': ""up check this out it's not even coming"", 'start': 174.3, 'duration': 8.01}, {'text': 'through the back but I got more oil so', 'start': 176.519, 'duration': 9.861}, {'text': ""we're gonna put this stuff on there"", 'start': 182.31, 'duration': 6.03}, {'text': ""after scrap I don't even know what it is"", 'start': 186.38, 'duration': 4.42}, {'text': ""I know it's all but here's a good one we"", 'start': 188.34, 'duration': 10.1}, {'text': 'got grease good old bearing grease', 'start': 190.8, 'duration': 7.64}, {'text': 'I guess you could use Vaseline you know', 'start': 203.51, 'duration': 3.78}, {'text': 'how many bearing grease is laying around', 'start': 205.7, 'duration': 4.8}, {'text': 'but they said I do mechanic work for a', 'start': 207.29, 'duration': 9.33}, {'text': 'living so I always got a bunch of fluids', 'start': 210.5, 'duration': 7.829}, {'text': 'grease all sorts of crap around the', 'start': 216.62, 'duration': 5.55}, {'text': ""house the garage that's about it guys"", 'start': 218.329, 'duration': 5.25}, {'text': ""and then we're going to stick this to"", 'start': 222.17, 'duration': 4.5}, {'text': ""the tree and it's going to be hog wild"", 'start': 223.579, 'duration': 7.16}, {'text': ""on there they'll be rubbing all over"", 'start': 226.67, 'duration': 4.069}, {'text': 'down some more crap this is a lighter', 'start': 231.79, 'duration': 11.11}, {'text': 'grade oils hydraulic oil but it all', 'start': 235.129, 'duration': 9.181}, {'text': ""worked now I'm going to stick it in the"", 'start': 242.9, 'duration': 4.199}, {'text': 'plastic bag okay oh this is totally', 'start': 244.31, 'duration': 4.799}, {'text': ""saturated now so what I'm going to do is"", 'start': 247.099, 'duration': 3.48}, {'text': 'wrap it around this tree and nail it', 'start': 249.109, 'duration': 20.28}, {'text': ""down real well now I'm bending the nail"", 'start': 250.579, 'duration': 20.551}, {'text': 'is over so it has a better grip because', 'start': 269.389, 'duration': 3.181}, {'text': 'these hogs going to be real rough on', 'start': 271.13, 'duration': 3.81}, {'text': 'this thing so let me go ahead and nail', 'start': 272.57, 'duration': 3.659}, {'text': ""it up and then we'll show you what it"", 'start': 274.94, 'duration': 4.68}, {'text': ""got after I'm done okay y'all it's"", 'start': 276.229, 'duration': 5.431}, {'text': 'nailed to the tree probably going to', 'start': 279.62, 'duration': 3.57}, {'text': 'come back and put a bunch more nails in', 'start': 281.66, 'duration': 2.34}, {'text': ""it because how you're going to be"", 'start': 283.19, 'duration': 3.27}, {'text': ""extremely rough on it I'm going to put"", 'start': 284.0, 'duration': 5.94}, {'text': 'some nails all through in here but I ran', 'start': 286.46, 'duration': 7.11}, {'text': ""out of nails anyway it's secure now but"", 'start': 289.94, 'duration': 5.97}, {'text': 'I fully expect in a few weeks all this', 'start': 293.57, 'duration': 4.86}, {'text': 'ground here is going to be a foot deep', 'start': 295.91, 'duration': 5.64}, {'text': ""it's going to be a trench around it that"", 'start': 298.43, 'duration': 4.83}, {'text': 'probably wind up tearing the damn thing', 'start': 301.55, 'duration': 4.2}, {'text': ""off right off the tree but we'll see"", 'start': 303.26, 'duration': 3.779}, {'text': 'what happens it would be nice little', 'start': 305.75, 'duration': 3.75}, {'text': ""experiment and that's my quick tip"", 'start': 307.039, 'duration': 6.361}, {'text': 'making a hog rub and of course if it', 'start': 309.5, 'duration': 5.46}, {'text': ""does make it through and doesn't come"", 'start': 313.4, 'duration': 3.63}, {'text': 'flying off of here every time you come', 'start': 314.96, 'duration': 3.72}, {'text': 'out to spray a little more oil on there', 'start': 317.03, 'duration': 6.68}, {'text': ""and they'll just keep hitting"", 'start': 318.68, 'duration': 5.03}, {'text': 'italic you', 'start': 330.71, 'duration': 3.18}]"
