jqat,P945yGdwsa8,[13],
Tne2,bR8i4y5VlaQ,[205],"[{'text': 'hey guys here a few tips that will', 'start': 0.0, 'duration': 3.03}, {'text': 'hopefully enhance your study or homework', 'start': 1.41, 'duration': 3.06}, {'text': ""time at home one thing I didn't mention"", 'start': 3.03, 'duration': 3.03}, {'text': 'the tips that are about to share is that', 'start': 4.47, 'duration': 3.059}, {'text': 'it is best to do your homework in the', 'start': 6.06, 'duration': 2.91}, {'text': 'daytime or as soon as I can', 'start': 7.529, 'duration': 3.331}, {'text': 'rather than before bed also a lot of', 'start': 8.97, 'duration': 3.24}, {'text': 'these things vary depending on the', 'start': 10.86, 'duration': 3.239}, {'text': 'person so best of luck and here we go', 'start': 12.21, 'duration': 3.54}, {'text': 'first things first get your study and', 'start': 14.099, 'duration': 3.541}, {'text': ""your homework area ready and if you're"", 'start': 15.75, 'duration': 3.18}, {'text': ""like me and you don't like sitting in"", 'start': 17.64, 'duration': 3.059}, {'text': 'desk for too long you can always work on', 'start': 18.93, 'duration': 3.15}, {'text': ""the bed as long as you know you don't"", 'start': 20.699, 'duration': 3.361}, {'text': 'fall asleep always wear comfortable', 'start': 22.08, 'duration': 3.66}, {'text': 'clothing such as shorts or sweatpants', 'start': 24.06, 'duration': 3.78}, {'text': 'depending on the weather and get to work', 'start': 25.74, 'duration': 4.17}, {'text': ""lay out all the materials like you're"", 'start': 27.84, 'duration': 3.81}, {'text': 'seeing right now and keep a planner', 'start': 29.91, 'duration': 3.54}, {'text': 'handy so you know what you have to do I', 'start': 31.65, 'duration': 3.6}, {'text': 'actually made my own planner from a', 'start': 33.45, 'duration': 3.449}, {'text': 'composition notebook that enables me to', 'start': 35.25, 'duration': 3.69}, {'text': 'personalize it all I want which in turn', 'start': 36.899, 'duration': 3.93}, {'text': 'motivates me to write down everything', 'start': 38.94, 'duration': 4.02}, {'text': 'your best bet for learning is natural', 'start': 40.829, 'duration': 3.57}, {'text': 'sunlight but you may always use a', 'start': 42.96, 'duration': 3.349}, {'text': ""bedside lamp if you're working at night"", 'start': 44.399, 'duration': 4.5}, {'text': 'always turn off your cell phone and your', 'start': 46.309, 'duration': 5.711}, {'text': 'computer unless you really need them set', 'start': 48.899, 'duration': 4.8}, {'text': 'up a schedule for yourself depending on', 'start': 52.02, 'duration': 3.78}, {'text': 'what you have to do and prioritize', 'start': 53.699, 'duration': 4.95}, {'text': 'depending on the due dates listening to', 'start': 55.8, 'duration': 4.47}, {'text': 'your favorite music helps drown out any', 'start': 58.649, 'duration': 3.541}, {'text': 'distractions but for a lot of people the', 'start': 60.27, 'duration': 4.23}, {'text': 'music they listen to is a distraction', 'start': 62.19, 'duration': 4.05}, {'text': 'YouTube has hours and hours of studying', 'start': 64.5, 'duration': 3.6}, {'text': 'music that help concentrate but then', 'start': 66.24, 'duration': 5.34}, {'text': 'again know music is also an option open', 'start': 68.1, 'duration': 5.22}, {'text': 'your textbook believe it or not a lot of', 'start': 71.58, 'duration': 3.66}, {'text': 'people completely skip this and rely on', 'start': 73.32, 'duration': 4.11}, {'text': 'memory reading your textbook is very', 'start': 75.24, 'duration': 4.14}, {'text': 'helpful now what you want to do is take', 'start': 77.43, 'duration': 5.16}, {'text': 'your own notes as you read if your', 'start': 79.38, 'duration': 5.279}, {'text': 'textbook has practice examples in it try', 'start': 82.59, 'duration': 3.599}, {'text': ""them out as you're learning and avoid"", 'start': 84.659, 'duration': 3.151}, {'text': ""just reading the solution if it's there"", 'start': 86.189, 'duration': 3.961}, {'text': 'also if you have a lot of work to do', 'start': 87.81, 'duration': 3.989}, {'text': 'break it up into sections and take', 'start': 90.15, 'duration': 3.509}, {'text': 'breaks in between you could do half an', 'start': 91.799, 'duration': 3.36}, {'text': 'hour of work and stretch for five', 'start': 93.659, 'duration': 2.911}, {'text': 'minutes or do questions one through', 'start': 95.159, 'duration': 3.811}, {'text': 'thirty take a break and so on if you', 'start': 96.57, 'duration': 3.78}, {'text': ""don't like the way your teacher or the"", 'start': 98.97, 'duration': 2.91}, {'text': 'book explains that you can always learn', 'start': 100.35, 'duration': 3.03}, {'text': 'it from different point of views on the', 'start': 101.88, 'duration': 3.72}, {'text': ""Internet if you're doing math homework a"", 'start': 103.38, 'duration': 3.9}, {'text': 'small dry erase board is great helpful', 'start': 105.6, 'duration': 2.97}, {'text': ""when you're practicing to do certain"", 'start': 107.28, 'duration': 3.0}, {'text': ""problems it's a good substitute for"", 'start': 108.57, 'duration': 3.45}, {'text': ""loose leaf paper if there's memory"", 'start': 110.28, 'duration': 3.449}, {'text': 'involved flashcards are a fun way to', 'start': 112.02, 'duration': 3.93}, {'text': 'study websites like StudyBlue comm', 'start': 113.729, 'duration': 3.871}, {'text': 'provide virtual flashcards in case you', 'start': 115.95, 'duration': 3.57}, {'text': ""don't have any keeping a healthy snack"", 'start': 117.6, 'duration': 3.78}, {'text': 'next to you along with a glass of water', 'start': 119.52, 'duration': 4.139}, {'text': 'is a great way to stay focused if you', 'start': 121.38, 'duration': 4.11}, {'text': 'find an interesting or important formula', 'start': 123.659, 'duration': 3.721}, {'text': 'theory or something similar you can use', 'start': 125.49, 'duration': 3.75}, {'text': 'sticky notes to reference them', 'start': 127.38, 'duration': 3.51}, {'text': ""when you're done don't forget to put it"", 'start': 129.24, 'duration': 4.05}, {'text': 'away I created my own homework system', 'start': 130.89, 'duration': 4.11}, {'text': 'with an accordion folder and removable', 'start': 133.29, 'duration': 5.3}, {'text': 'tabs to label the classes', 'start': 135.0, 'duration': 3.59}, {'text': 'thanks for watching and remember if', 'start': 140.0, 'duration': 3.24}, {'text': ""you're still stuck on a certain question"", 'start': 141.89, 'duration': 3.0}, {'text': 'or subject you can always ask a teacher', 'start': 143.24, 'duration': 3.24}, {'text': ""for help because there's no shame in it"", 'start': 144.89, 'duration': 3.12}, {'text': 'and most teachers are really happy to', 'start': 146.48, 'duration': 3.21}, {'text': 'help you can also always ask your parent', 'start': 148.01, 'duration': 3.36}, {'text': 'or ultra simply because I know that my', 'start': 149.69, 'duration': 3.21}, {'text': 'younger brother sometimes asked me for', 'start': 151.37, 'duration': 3.54}, {'text': ""help and it's no big deal on it really"", 'start': 152.9, 'duration': 6.29}, {'text': 'helps so thanks for watching and adios', 'start': 154.91, 'duration': 4.28}]"
Kze2,bTohIF7ksJY,"[100, 161, 704, 1515]",
bde2,6Qo53ByrFBw,"[9, 10, 34]",
B9e2,6Rt_RyKbYVw,"[133, 3141]",
Aoe2,oMd67O2Xozw,[1531],
Lve2,Lma7ZL3LV_s,"[3, 89, 324]",
yae2,4bnpaHjpSBk,[3],
dpe2,4nQhhM_FiYQ,[3],
Mxe2,4s5DqZDJ-z8,[3025],
RGe2,,[284],
K4e2,scBjunWXXdo,"[0, 12]",
HTe2,scM0RckggG4,"[616, 966, 1025]",
lAe2,9vycxTuBD-c,"[0, 1, 581]",
vfe2,m3wHpT595Uk,"[4, 54, 168, 330]",
BYe2,m79hZfoOWR8,"[352, 2169]","[{'text': 'the clock ticking the ball with houses', 'start': 33.64, 'duration': 8.65}, {'text': 'is a Hell in a Cell match and is for the', 'start': 36.559, 'duration': 9.14}, {'text': 'World Heavyweight Championship', 'start': 42.29, 'duration': 6.119}, {'text': 'approaching the ring of the World', 'start': 45.699, 'duration': 8.07}, {'text': 'Heavyweight Champion mr. black', 'start': 48.409, 'duration': 5.36}, {'text': 'Oh', 'start': 58.86, 'duration': 4.51}, {'text': 'nobody to stop', 'start': 60.72, 'duration': 5.22}, {'text': 'no way', 'start': 63.37, 'duration': 2.57}, {'text': 'like you', 'start': 69.98, 'duration': 2.63}, {'text': 'and introducing the challenger from', 'start': 90.09, 'duration': 8.309}, {'text': 'Death Valley weighing 299 pounds the', 'start': 92.969, 'duration': 7.46}, {'text': 'Undertaker', 'start': 98.399, 'duration': 2.03}, {'text': 'you', 'start': 304.19, 'duration': 2.06}, {'text': 'you', 'start': 312.76, 'duration': 2.06}, {'text': 'you', 'start': 348.88, 'duration': 2.06}]"
nte2,mCIqP0W4BYw,"[21, 23, 24]","[{'text': ""today on a pleasure you've got another"", 'start': 3.35, 'duration': 3.82}, {'text': 'viewers choice episode and this one', 'start': 5.46, 'duration': 3.929}, {'text': 'comes with a warning this game is highly', 'start': 7.17, 'duration': 8.19}, {'text': 'addictive thus episode of AB substance', 'start': 9.389, 'duration': 8.701}, {'text': 'is brought to you by Squarespace hey', 'start': 15.36, 'duration': 3.87}, {'text': 'everyone and welcome to app judgment', 'start': 18.09, 'duration': 2.849}, {'text': 'your mobile application review show from', 'start': 19.23, 'duration': 4.049}, {'text': 'revision3 my name is Annie and I have a', 'start': 20.939, 'duration': 4.201}, {'text': 'problem with work games Scrabble', 'start': 23.279, 'duration': 3.961}, {'text': 'crossword puzzles junior jumble hangman', 'start': 25.14, 'duration': 4.2}, {'text': ""you name it I probably think I'm really"", 'start': 27.24, 'duration': 3.81}, {'text': ""good at it so I couldn't resist this"", 'start': 29.34, 'duration': 3.6}, {'text': 'application suggested by a beloved', 'start': 31.05, 'duration': 3.3}, {'text': 'appjudgment viewer who goes by the name', 'start': 32.94, 'duration': 3.81}, {'text': 'of flea burger he or she writes in I', 'start': 34.35, 'duration': 4.529}, {'text': 'would like to suggest checking out word', 'start': 36.75, 'duration': 4.98}, {'text': ""genius it's like boggle on steroids be"", 'start': 38.879, 'duration': 4.68}, {'text': ""warned that it's highly highly addictive"", 'start': 41.73, 'duration': 3.27}, {'text': 'where genius is one of the many', 'start': 43.559, 'duration': 3.241}, {'text': 'offerings of openfeint which bills', 'start': 45.0, 'duration': 3.149}, {'text': ""itself as the coolest things we've"", 'start': 46.8, 'duration': 3.66}, {'text': ""sliced awesome more specifically it's a"", 'start': 48.149, 'duration': 3.511}, {'text': 'service that connects you with your', 'start': 50.46, 'duration': 3.0}, {'text': 'friends to play mobile games using of', 'start': 51.66, 'duration': 3.059}, {'text': 'course Twitter and Facebook integration', 'start': 53.46, 'duration': 3.509}, {'text': 'open fate is basically its own game', 'start': 54.719, 'duration': 3.93}, {'text': 'network where you can receive challenges', 'start': 56.969, 'duration': 3.421}, {'text': 'from friends track your achievements and', 'start': 58.649, 'duration': 3.451}, {'text': 'smack talk on the message boards and', 'start': 60.39, 'duration': 3.27}, {'text': 'chat rooms at the time of this review', 'start': 62.1, 'duration': 3.809}, {'text': 'there were close to 1,900 games that are', 'start': 63.66, 'duration': 4.47}, {'text': 'supported on OpenFeint and 28 million', 'start': 65.909, 'duration': 4.71}, {'text': 'players under probability expert but', 'start': 68.13, 'duration': 3.87}, {'text': ""that's a lot of freaking potential"", 'start': 70.619, 'duration': 3.121}, {'text': ""gameplay right there so let's check out"", 'start': 72.0, 'duration': 3.42}, {'text': ""word genius the description that it's"", 'start': 73.74, 'duration': 3.51}, {'text': 'boggle on steroids is pretty accurate', 'start': 75.42, 'duration': 3.629}, {'text': ""you're given a board with a bunch of"", 'start': 77.25, 'duration': 3.45}, {'text': 'letters and you drag your finger across', 'start': 79.049, 'duration': 3.811}, {'text': 'adjacent letters to form or combinations', 'start': 80.7, 'duration': 4.83}, {'text': ""and it's actually pretty hard you can"", 'start': 82.86, 'duration': 4.2}, {'text': 'play against yourself to practice where', 'start': 85.53, 'duration': 2.879}, {'text': 'you race against the clock to get as', 'start': 87.06, 'duration': 2.97}, {'text': 'many of the potential word combinations', 'start': 88.409, 'duration': 3.451}, {'text': ""as possible once you're done you'll get"", 'start': 90.03, 'duration': 3.06}, {'text': 'your score in a list of all the words', 'start': 91.86, 'duration': 2.67}, {'text': ""you missed and chances are you won't"", 'start': 93.09, 'duration': 3.029}, {'text': 'recognize at least a couple in which', 'start': 94.53, 'duration': 2.909}, {'text': 'case you can click on a word to get the', 'start': 96.119, 'duration': 3.0}, {'text': ""definition once you're all warmed up"", 'start': 97.439, 'duration': 3.511}, {'text': ""it's time to challenge a friend or"", 'start': 99.119, 'duration': 4.021}, {'text': 'perhaps a most hated arch enemy but', 'start': 100.95, 'duration': 3.5}, {'text': ""first let's thank our sponsor"", 'start': 103.14, 'duration': 3.479}, {'text': 'Squarespace is a publishing system for', 'start': 104.45, 'duration': 4.239}, {'text': 'anyone looking to build a blog portfolio', 'start': 106.619, 'duration': 4.471}, {'text': 'or any kind of website with blog tools', 'start': 108.689, 'duration': 4.401}, {'text': 'that allow for iphone updating on the go', 'start': 111.09, 'duration': 3.959}, {'text': 'hassle-free importing insights from', 'start': 113.09, 'duration': 3.94}, {'text': 'other environments for robust stats and', 'start': 115.049, 'duration': 4.53}, {'text': 'much more Squarespace makes it super', 'start': 117.03, 'duration': 4.32}, {'text': 'easy for anyone to build and maintain a', 'start': 119.579, 'duration': 3.75}, {'text': 'site that you could only dream of with', 'start': 121.35, 'duration': 4.08}, {'text': 'other platforms and if you have the', 'start': 123.329, 'duration': 4.261}, {'text': 'coding experience score space allows you', 'start': 125.43, 'duration': 4.079}, {'text': 'to delve into the code and customize', 'start': 127.59, 'duration': 3.82}, {'text': 'things even further', 'start': 129.509, 'duration': 3.461}, {'text': 'tens of thousands of people all across', 'start': 131.41, 'duration': 3.03}, {'text': 'the internet have been using square', 'start': 132.97, 'duration': 3.15}, {'text': ""space for years and they're already"", 'start': 134.44, 'duration': 3.54}, {'text': 'great service is only getting better by', 'start': 136.12, 'duration': 4.2}, {'text': 'the day on July fourteenth Squarespace', 'start': 137.98, 'duration': 4.08}, {'text': 'announced a huge round of capital', 'start': 140.32, 'duration': 3.36}, {'text': 'investment that allow them to expand at', 'start': 142.06, 'duration': 3.84}, {'text': 'an even faster rate we want to', 'start': 143.68, 'duration': 4.17}, {'text': 'congratulate Squarespace and are truly', 'start': 145.9, 'duration': 4.13}, {'text': 'excited to work with such great people', 'start': 147.85, 'duration': 4.8}, {'text': 'okay so within the openfeint system the', 'start': 150.03, 'duration': 3.79}, {'text': 'way that you challenge a friend is to', 'start': 152.65, 'duration': 3.59}, {'text': 'just go and play a game against yourself', 'start': 153.82, 'duration': 4.68}, {'text': ""so once again you're just connecting the"", 'start': 156.24, 'duration': 4.5}, {'text': 'words', 'start': 158.5, 'duration': 2.24}, {'text': 'yep Wes', 'start': 163.25, 'duration': 3.23}, {'text': 'and a hard', 'start': 167.15, 'duration': 3.3}, {'text': 'and you can limit the time of it to', 'start': 173.19, 'duration': 3.72}, {'text': 'either one minute two minutes or three', 'start': 174.99, 'duration': 4.26}, {'text': 'minutes I believe you can change how', 'start': 176.91, 'duration': 5.51}, {'text': 'long you can play for', 'start': 179.25, 'duration': 3.17}, {'text': 'so I got a new high score so once again', 'start': 185.27, 'duration': 5.25}, {'text': 'once you finish the board it will show', 'start': 188.47, 'duration': 3.52}, {'text': 'you all the words that you missed we can', 'start': 190.52, 'duration': 2.67}, {'text': 'click on them any of them to get the', 'start': 191.99, 'duration': 3.48}, {'text': 'definition and so I got a new high score', 'start': 193.19, 'duration': 3.54}, {'text': ""so I'm going to challenge a friend I"", 'start': 195.47, 'duration': 3.51}, {'text': ""found six words in this 52 which doesn't"", 'start': 196.73, 'duration': 4.29}, {'text': 'sound like I did that great me but', 'start': 198.98, 'duration': 4.08}, {'text': ""currently it's my high score so let's"", 'start': 201.02, 'duration': 6.36}, {'text': 'challenge mr. Carboni you just select', 'start': 203.06, 'duration': 7.44}, {'text': 'the friend and send the challenge so', 'start': 207.38, 'duration': 4.89}, {'text': 'what that does is just send your friend', 'start': 210.5, 'duration': 3.78}, {'text': ""the same board and then they'll play the"", 'start': 212.27, 'duration': 3.54}, {'text': 'exact same bored and see if they can', 'start': 214.28, 'duration': 4.14}, {'text': 'beat your high score so you go into your', 'start': 215.81, 'duration': 6.63}, {'text': 'challenges and you can be your pending', 'start': 218.42, 'duration': 7.2}, {'text': 'into history and it looks like so far', 'start': 222.44, 'duration': 6.69}, {'text': ""I've lost twice so the word genius"", 'start': 225.62, 'duration': 5.76}, {'text': 'experience on the openfeint systems a', 'start': 229.13, 'duration': 3.9}, {'text': 'little bit underwhelming because rather', 'start': 231.38, 'duration': 3.45}, {'text': ""than playing against a person live it's"", 'start': 233.03, 'duration': 3.9}, {'text': 'more that you just play the same bored', 'start': 234.83, 'duration': 4.74}, {'text': 'and you see how well you do compared to', 'start': 236.93, 'duration': 4.74}, {'text': ""each other so it's a little bit"", 'start': 239.57, 'duration': 4.95}, {'text': 'anticlimactic but still fun and I', 'start': 241.67, 'duration': 4.44}, {'text': 'recommend downloading more genius it is', 'start': 244.52, 'duration': 3.75}, {'text': ""free and if you're not into word genius"", 'start': 246.11, 'duration': 4.05}, {'text': 'the openfeint has thousands thousands of', 'start': 248.27, 'duration': 3.09}, {'text': 'other games that are integrated with its', 'start': 250.16, 'duration': 2.67}, {'text': 'system if you want to play against your', 'start': 251.36, 'duration': 3.599}, {'text': 'friends and challenges shad all that', 'start': 252.83, 'duration': 3.87}, {'text': ""kind of stuff so check it out if there's"", 'start': 254.959, 'duration': 3.78}, {'text': 'any other games that you like send us an', 'start': 256.7, 'duration': 3.69}, {'text': 'email at app judgment or revision 3.com', 'start': 258.739, 'duration': 4.281}, {'text': 'you can also find us on facebook twitter', 'start': 260.39, 'duration': 6.03}, {'text': 'youtube and on our homepage at revision', 'start': 263.02, 'duration': 7.71}, {'text': '3.com / at sentiment thanks for watching', 'start': 266.42, 'duration': 4.31}, {'text': 'you', 'start': 272.32, 'duration': 2.06}]"
YYe2,e2ZldB28_h0,"[3, 6]",
NZe2,eJTNlg8pGmI,"[1, 219]",
Y3e2,XveaSl7YlWo,"[353, 673, 1615]",
UAe2,D6TFQzOTRVA,"[4, 9, 10]",
WVe2,tq76ABHae8c,"[26, 526, 817, 3060]","[{'text': 'hey this is Kenny LAN are you excited to', 'start': 0.089, 'duration': 6.661}, {'text': 'go back to school I am so excited for', 'start': 3.959, 'duration': 4.951}, {'text': 'you I always been excited to go back to', 'start': 6.75, 'duration': 5.13}, {'text': 'school and I want to show you some candy', 'start': 8.91, 'duration': 6.68}, {'text': 'this is Hello Kitty vanilla cupcake oh', 'start': 11.88, 'duration': 8.13}, {'text': ""you just open it up and see whoa what's"", 'start': 15.59, 'duration': 7.51}, {'text': 'that look at this looking good', 'start': 20.01, 'duration': 6.54}, {'text': 'oh I love this bar this is from candy', 'start': 23.1, 'duration': 6.419}, {'text': ""Dylan's Candy and it's really looking"", 'start': 26.55, 'duration': 5.61}, {'text': 'nice I want to taste it for you and tell', 'start': 29.519, 'duration': 6.411}, {'text': ""you what it's like y'all ready"", 'start': 32.16, 'duration': 13.94}, {'text': ""mmm claiming and I'm very sweet young"", 'start': 35.93, 'duration': 13.629}, {'text': ""okay again it's like white chocolate in"", 'start': 46.1, 'duration': 9.279}, {'text': 'a candy / white chocolate really good I', 'start': 49.559, 'duration': 12.111}, {'text': 'like it a lot mmm and I have some nice', 'start': 55.379, 'duration': 10.711}, {'text': 'going back to school crayons from', 'start': 61.67, 'duration': 8.949}, {'text': 'Crayola then there are minions you can', 'start': 66.09, 'duration': 8.639}, {'text': 'find these at Target very cool they make', 'start': 70.619, 'duration': 7.021}, {'text': 'the school fun and going back to school', 'start': 74.729, 'duration': 5.881}, {'text': 'fun and I always liked to have some', 'start': 77.64, 'duration': 6.03}, {'text': 'special you know for some special things', 'start': 80.61, 'duration': 5.52}, {'text': 'to take the school with me to make it a', 'start': 83.67, 'duration': 5.55}, {'text': 'little bit more fun and this is the pro', 'start': 86.13, 'duration': 7.349}, {'text': ""ball it has some surprises inside we're"", 'start': 89.22, 'duration': 7.8}, {'text': 'gonna open it up and find out this is it', 'start': 93.479, 'duration': 6.631}, {'text': ""I opened it up ah let's see what's"", 'start': 97.02, 'duration': 3.86}, {'text': 'inside', 'start': 100.11, 'duration': 5.18}, {'text': ""are you ready all right let's open it up"", 'start': 100.88, 'duration': 15.029}, {'text': 'whoo yeah Wow look at that some stickers', 'start': 105.29, 'duration': 16.259}, {'text': 'Wow very shiny go team football fan', 'start': 115.909, 'duration': 12.171}, {'text': 'score Wow pretty fun I like these', 'start': 121.549, 'duration': 11.411}, {'text': 'take one sticker out okay put it in the', 'start': 128.08, 'duration': 7.85}, {'text': 'football fan look you can even put it', 'start': 132.96, 'duration': 7.84}, {'text': 'here take it with you to school this is', 'start': 135.93, 'duration': 10.68}, {'text': ""call right and he have the Bubblegum's"", 'start': 140.8, 'duration': 5.81}, {'text': 'and open it up for you see it was easy', 'start': 147.24, 'duration': 9.69}, {'text': 'opening noisy open in oh okay like this', 'start': 152.17, 'duration': 9.68}, {'text': ""I'll taste it taste the red bubble"", 'start': 156.93, 'duration': 11.31}, {'text': 'mm-hmm yes chili bubbling bubble gum', 'start': 161.85, 'duration': 10.92}, {'text': 'very sweet Wow bring out some more', 'start': 168.24, 'duration': 10.87}, {'text': ""minions mockers washable markers let's"", 'start': 172.77, 'duration': 10.66}, {'text': 'open it up and look it up I will be', 'start': 179.11, 'duration': 6.33}, {'text': 'excited if I was youth to go back to', 'start': 183.43, 'duration': 6.84}, {'text': 'school with the minions look yeah three', 'start': 185.44, 'duration': 15.63}, {'text': 'colors yellow blue and red Wow looks', 'start': 190.27, 'duration': 16.32}, {'text': 'good and what else we have this is the', 'start': 201.07, 'duration': 10.59}, {'text': 'pencil case by minions you can put it', 'start': 206.59, 'duration': 7.29}, {'text': 'you can put all your markers and your', 'start': 211.66, 'duration': 9.27}, {'text': 'pins inside look at that mm now you get', 'start': 213.88, 'duration': 9.99}, {'text': 'back to school a fun way and I can', 'start': 220.93, 'duration': 6.27}, {'text': 'listen put my crayons all in here so I', 'start': 223.87, 'duration': 8.0}, {'text': 'can keep them all organized there you go', 'start': 227.2, 'duration': 8.52}, {'text': ""that way you don't lose any of them and"", 'start': 231.87, 'duration': 5.83}, {'text': 'you zip it up and this is how you can', 'start': 235.72, 'duration': 5.16}, {'text': 'put it in your book bag and go to school', 'start': 237.7, 'duration': 6.99}, {'text': ""with the minions okay let's open the"", 'start': 240.88, 'duration': 11.06}, {'text': ""baseball see what's inside you ready"", 'start': 244.69, 'duration': 7.25}, {'text': 'okay got here', 'start': 255.93, 'duration': 10.51}, {'text': 'Wow a little easier than other one get', 'start': 259.03, 'duration': 9.84}, {'text': 'that some gum', 'start': 266.44, 'duration': 11.52}, {'text': 'gumballs and the stickers this time', 'start': 268.87, 'duration': 12.78}, {'text': 'these stickers a baseball stickers Wow', 'start': 277.96, 'duration': 10.86}, {'text': 'oh how nice I like these stickers very', 'start': 281.65, 'duration': 11.33}, {'text': 'nice and finally we have a soccer ball', 'start': 288.82, 'duration': 9.03}, {'text': ""see what's inside you ready I'm opening"", 'start': 292.98, 'duration': 18.33}, {'text': ""it see what's inside of it okay on three"", 'start': 297.85, 'duration': 21.39}, {'text': 'three there you go look nice this is', 'start': 311.31, 'duration': 12.9}, {'text': 'nice this is the soccer ball stickers', 'start': 319.24, 'duration': 10.05}, {'text': ""Wow pretty cool and it's shiny and you"", 'start': 324.21, 'duration': 13.35}, {'text': 'have a gum balls gummy gummy gummy all', 'start': 329.29, 'duration': 8.27}, {'text': 'very smooth sweet today and I have some', 'start': 338.37, 'duration': 9.25}, {'text': 'candy the guys like mint candy mmm I', 'start': 342.72, 'duration': 8.259}, {'text': ""don't really like men can be a lot but I"", 'start': 347.62, 'duration': 9.33}, {'text': 'never hmm I never really had any candy', 'start': 350.979, 'duration': 9.661}, {'text': 'mint candy in my videos yet so I wanted', 'start': 356.95, 'duration': 7.77}, {'text': 'to you know decorate the video and have', 'start': 360.64, 'duration': 9.02}, {'text': 'you see this this is a an extra you know', 'start': 364.72, 'duration': 10.68}, {'text': 'game book for minions also if you like', 'start': 369.66, 'duration': 8.98}, {'text': 'to do some extra homework or extra games', 'start': 375.4, 'duration': 7.22}, {'text': 'that are intelligent games smart games', 'start': 378.64, 'duration': 7.17}, {'text': 'coloring and things like that you can', 'start': 382.62, 'duration': 6.88}, {'text': 'have this this is also you can find and', 'start': 385.81, 'duration': 7.05}, {'text': 'target and they are not x', 'start': 389.5, 'duration': 6.75}, {'text': 'so mommy and daddy will be happy then I', 'start': 392.86, 'duration': 7.89}, {'text': 'spend a lot of money yes and do you have', 'start': 396.25, 'duration': 8.19}, {'text': ""also a marker along with it that's it"", 'start': 400.75, 'duration': 5.79}, {'text': 'guys this was it', 'start': 404.44, 'duration': 4.32}, {'text': 'thank you for watching please subscribe', 'start': 406.54, 'duration': 5.64}, {'text': 'for more videos like the videos thank', 'start': 408.76, 'duration': 6.17}, {'text': 'you bye bye', 'start': 412.18, 'duration': 2.75}]"
