VWeW,IN9Uzw9Nxag,"[2, 17, 53, 58]",
qmoo,oAEWiSgfzXo,"[21, 23, 24, 73, 288, 322]","[{'text': 'there one time for another ipod app', 'start': 3.35, 'duration': 4.48}, {'text': ""review now this time i'm going to review"", 'start': 5.97, 'duration': 4.05}, {'text': ""an app that I've kind of been waiting on"", 'start': 7.83, 'duration': 4.349}, {'text': ""to see how it's progressed over time it"", 'start': 10.02, 'duration': 4.199}, {'text': 'got really popular but at the time it', 'start': 12.179, 'duration': 3.811}, {'text': ""got popular I didn't have this model of"", 'start': 14.219, 'duration': 3.961}, {'text': 'ipod to review it anyway for you guys so', 'start': 15.99, 'duration': 5.25}, {'text': ""i think now it's time instagram is a"", 'start': 18.18, 'duration': 6.0}, {'text': 'picture taking social network of a kind', 'start': 21.24, 'duration': 4.049}, {'text': 'that people have been getting into', 'start': 24.18, 'duration': 2.73}, {'text': 'lately all the people with the iOS', 'start': 25.289, 'duration': 4.771}, {'text': 'devices that have cameras so why not', 'start': 26.91, 'duration': 4.8}, {'text': 'especially considering one of the other', 'start': 30.06, 'duration': 3.48}, {'text': 'members of the same cast crew even has', 'start': 31.71, 'duration': 3.599}, {'text': ""gotten into it recently I figured it's"", 'start': 33.54, 'duration': 4.229}, {'text': ""time so I'm looking at Instagram this"", 'start': 35.309, 'duration': 6.511}, {'text': 'week on iPod app reviews as I said', 'start': 37.769, 'duration': 6.061}, {'text': ""before we're dipping back into my social"", 'start': 41.82, 'duration': 3.75}, {'text': 'folder this time so i can open up', 'start': 43.83, 'duration': 5.579}, {'text': 'instagram instagram is a social network', 'start': 45.57, 'duration': 6.629}, {'text': 'of sorts built inside of itself where', 'start': 49.409, 'duration': 6.271}, {'text': ""people take pictures and and it's"", 'start': 52.199, 'duration': 5.761}, {'text': 'loading up my timeline right now but', 'start': 55.68, 'duration': 5.07}, {'text': ""with a special twist to it and i'll"", 'start': 57.96, 'duration': 4.47}, {'text': 'reveal that twist of a bit mad as you', 'start': 60.75, 'duration': 3.839}, {'text': 'can see i am following just like you', 'start': 62.43, 'duration': 3.869}, {'text': 'follow people on Twitter and stuff like', 'start': 64.589, 'duration': 3.721}, {'text': ""that you follow different people i'm"", 'start': 66.299, 'duration': 3.751}, {'text': 'following a lot of my tech people like', 'start': 68.31, 'duration': 4.08}, {'text': ""here's something tom merritt took sarah"", 'start': 70.05, 'duration': 7.05}, {'text': 'lane so yeah a lot of prager from', 'start': 72.39, 'duration': 8.01}, {'text': 'diggnation a lot of the big tech people', 'start': 77.1, 'duration': 5.64}, {'text': ""love this here's even one from a member"", 'start': 80.4, 'duration': 4.58}, {'text': 'of the sam kass screw himself Jeremiah', 'start': 82.74, 'duration': 6.03}, {'text': ""so I'm following some people with that"", 'start': 84.98, 'duration': 9.4}, {'text': ""there's also a popular feed here that"", 'start': 88.77, 'duration': 8.76}, {'text': 'shows because people rank love things', 'start': 94.38, 'duration': 4.86}, {'text': ""make comments you know it's pretty much"", 'start': 97.53, 'duration': 4.26}, {'text': ""like a any regular social network you're"", 'start': 99.24, 'duration': 4.65}, {'text': ""used to but now i'm sure some of you"", 'start': 101.79, 'duration': 3.78}, {'text': 'guys may have noticed that some of these', 'start': 103.89, 'duration': 4.8}, {'text': 'pictures look a bit stylized why is that', 'start': 105.57, 'duration': 5.76}, {'text': ""well that's the fun of Instagram allow"", 'start': 108.69, 'duration': 4.38}, {'text': 'me to explain as I press the share', 'start': 111.33, 'duration': 4.68}, {'text': 'button now just like most apps it uses', 'start': 113.07, 'duration': 6.75}, {'text': 'the back camera hi or the front facing', 'start': 116.01, 'duration': 5.52}, {'text': 'camera and in this case I am going to', 'start': 119.82, 'duration': 5.94}, {'text': ""use the front-facing one so wow that's"", 'start': 121.53, 'duration': 6.449}, {'text': 'got a bit of a stylized look already hey', 'start': 125.76, 'duration': 3.96}, {'text': ""first time I get to see you while I'm"", 'start': 127.979, 'duration': 7.831}, {'text': 'using that app so just take a let me get', 'start': 129.72, 'duration': 7.349}, {'text': 'me a nice little style', 'start': 135.81, 'duration': 6.439}, {'text': 'I look at well would you look at that', 'start': 137.069, 'duration': 5.18}, {'text': ""yeah that's pretty good now here's where"", 'start': 146.06, 'duration': 5.289}, {'text': 'the clever thing comes and yes you could', 'start': 149.579, 'duration': 3.72}, {'text': ""put that picture as normal which that's"", 'start': 151.349, 'duration': 3.571}, {'text': 'going to nice stylized lighting look', 'start': 153.299, 'duration': 3.181}, {'text': ""actually I'm a stick with that but I've"", 'start': 154.92, 'duration': 3.239}, {'text': 'still got to show you guys all of the', 'start': 156.48, 'duration': 5.67}, {'text': ""things it has filters now here's the"", 'start': 158.159, 'duration': 5.94}, {'text': 'thing that makes Instagram so popular', 'start': 162.15, 'duration': 4.11}, {'text': 'you can take a picture just any regular', 'start': 164.099, 'duration': 3.72}, {'text': 'picture and even if it looks like a', 'start': 166.26, 'duration': 5.429}, {'text': 'crappy picture apply for a filter like', 'start': 167.819, 'duration': 7.861}, {'text': 'this or this where it will give it a', 'start': 171.689, 'duration': 8.841}, {'text': 'border and a certain textural look to it', 'start': 175.68, 'duration': 4.85}, {'text': 'let me see what I want here they get', 'start': 183.769, 'duration': 5.5}, {'text': 'funny inside joke that even Kevin roses', 'start': 186.449, 'duration': 5.581}, {'text': 'dog toaster got his own filter named', 'start': 189.269, 'duration': 4.68}, {'text': 'after him because they used it so much', 'start': 192.03, 'duration': 4.319}, {'text': ""so that's the toaster filter I like"", 'start': 193.949, 'duration': 4.44}, {'text': 'using that with my dog sometimes just as', 'start': 196.349, 'duration': 10.35}, {'text': 'an inside geek joke I see here so as you', 'start': 198.389, 'duration': 11.13}, {'text': ""can see it's got all sorts of little"", 'start': 206.699, 'duration': 5.43}, {'text': 'filters you could spend lord knows how', 'start': 209.519, 'duration': 7.11}, {'text': 'long working on this thing I think I', 'start': 212.129, 'duration': 7.56}, {'text': 'like that one with the gut kind of a', 'start': 216.629, 'duration': 6.89}, {'text': ""nice look to it so I'll press next here"", 'start': 219.689, 'duration': 8.73}, {'text': 'ok now you can geotag it if you want but', 'start': 223.519, 'duration': 7.09}, {'text': ""I'm not really big on geo-tagging myself"", 'start': 228.419, 'duration': 11.9}, {'text': 'anyway but you put what it is some ones', 'start': 230.609, 'duration': 9.71}, {'text': 'watching me', 'start': 240.469, 'duration': 3.66}, {'text': 'okay now you can also should share it', 'start': 250.22, 'duration': 9.15}, {'text': 'with your Facebook and Twitter which I', 'start': 257.299, 'duration': 3.78}, {'text': ""actually screwed up and didn't share"", 'start': 259.37, 'duration': 5.25}, {'text': 'with but if you ever do then see here we', 'start': 261.079, 'duration': 6.721}, {'text': ""are it's now produced now if you do want"", 'start': 264.62, 'duration': 6.24}, {'text': 'to share it later like if you do like me', 'start': 267.8, 'duration': 6.93}, {'text': 'you can also share the post with my', 'start': 270.86, 'duration': 7.55}, {'text': 'Twitter in this case', 'start': 274.73, 'duration': 3.68}, {'text': 'posting it to Twitter right now and you', 'start': 297.03, 'duration': 4.24}, {'text': 'can also share it with your Facebook', 'start': 300.04, 'duration': 4.04}, {'text': 'people', 'start': 301.27, 'duration': 2.81}, {'text': 'so you can be selective with what you', 'start': 312.22, 'duration': 4.68}, {'text': ""share it with and everything but I've"", 'start': 314.77, 'duration': 3.51}, {'text': ""got my Twitter and Facebook they're a"", 'start': 316.9, 'duration': 3.45}, {'text': 'bunch of other networks like Flickr and', 'start': 318.28, 'duration': 3.75}, {'text': ""everything else that you can attach it's"", 'start': 320.35, 'duration': 4.41}, {'text': 'really got a large selection of social', 'start': 322.03, 'duration': 5.72}, {'text': 'networks that you can attach to this app', 'start': 324.76, 'duration': 6.39}, {'text': 'but there is one gripe that I will make', 'start': 327.75, 'duration': 5.23}, {'text': ""about this app is that there's no actual"", 'start': 331.15, 'duration': 5.19}, {'text': 'web interface sure you can share your', 'start': 332.98, 'duration': 5.25}, {'text': 'pictures and people can click on the', 'start': 336.34, 'duration': 3.87}, {'text': 'link and look at the pictures but', 'start': 338.23, 'duration': 3.69}, {'text': ""there's no web interface where you could"", 'start': 340.21, 'duration': 5.55}, {'text': 'say look up mine labtech seven let go', 'start': 341.92, 'duration': 6.15}, {'text': 'instagram.com / or something like that', 'start': 345.76, 'duration': 4.56}, {'text': 'and get my entire thing of photos that I', 'start': 348.07, 'duration': 4.83}, {'text': 'have so it really is kind of limited to', 'start': 350.32, 'duration': 4.35}, {'text': 'the app minus the ones that you save', 'start': 352.9, 'duration': 4.23}, {'text': ""yourself and that's clicking one photo"", 'start': 354.67, 'duration': 5.01}, {'text': 'at a time so that is my only gripe and', 'start': 357.13, 'duration': 4.23}, {'text': ""they swear they're going to work on this"", 'start': 359.68, 'duration': 3.09}, {'text': ""and I don't know how long it will take"", 'start': 361.36, 'duration': 4.43}, {'text': ""them but until then it's kind of an in"", 'start': 362.77, 'duration': 6.6}, {'text': 'ipod social network but regardless i do', 'start': 365.79, 'duration': 7.03}, {'text': 'as a photo file myself love something', 'start': 369.37, 'duration': 5.58}, {'text': 'like this to make a nice little stylized', 'start': 372.82, 'duration': 4.56}, {'text': 'picture with filters and even pictures', 'start': 374.95, 'duration': 4.71}, {'text': ""that you randomly took that don't seem"", 'start': 377.38, 'duration': 4.5}, {'text': 'that good all of a sudden become pretty', 'start': 379.66, 'duration': 5.25}, {'text': 'nice with a nice built on them so does', 'start': 381.88, 'duration': 6.39}, {'text': 'Instagram hope you guys liked the review', 'start': 384.91, 'duration': 4.74}, {'text': 'now if you want to follow me on', 'start': 388.27, 'duration': 3.63}, {'text': 'instagram you can find me at lab techs', 'start': 389.65, 'duration': 3.69}, {'text': 'up and i should start using the app a', 'start': 391.9, 'duration': 3.269}, {'text': 'bit more often considering i have', 'start': 393.34, 'duration': 4.47}, {'text': 'friends using it as well I mean I like', 'start': 395.169, 'duration': 4.441}, {'text': 'taking stylish pictures as much as the', 'start': 397.81, 'duration': 3.83}, {'text': ""next person the cameras aren't half bad"", 'start': 399.61, 'duration': 4.77}, {'text': 'so if you want to follow all my other', 'start': 401.64, 'duration': 5.14}, {'text': 'feeds go to friendfeed calm / life take', 'start': 404.38, 'duration': 4.44}, {'text': '7 and as usual if you actually want this', 'start': 406.78, 'duration': 4.44}, {'text': 'app that way you can start instagramming', 'start': 408.82, 'duration': 5.58}, {'text': 'you can find the link below this post on', 'start': 411.22, 'duration': 6.199}, {'text': 'the page at Samuel Lewis blogspot com', 'start': 414.4, 'duration': 5.43}, {'text': ""and if you've got any other apps that"", 'start': 417.419, 'duration': 4.0}, {'text': 'you think I should know about send me', 'start': 419.83, 'duration': 3.48}, {'text': 'and some feedback Sam Kass feedback at', 'start': 421.419, 'duration': 4.681}, {'text': ""gmail com it's kind of hard to find apps"", 'start': 423.31, 'duration': 5.7}, {'text': 'some ways so until next time when I', 'start': 426.1, 'duration': 7.34}, {'text': 'review another app for you guys see ya', 'start': 429.01, 'duration': 4.43}]"
Qjoo,,"[3, 6]",
rcoo,qRkQVnI4PbQ,[14],
Vqoo,qZyLoMX9PmM,[6],
TPoo,,"[39, 121, 156, 202, 207, 233, 338, 529, 627]",
U4oo,IolvRa4uZoA,[259],"[{'text': 'this video shows a demonstration of', 'start': 1.969, 'duration': 5.321}, {'text': 'controlling the link 6 robotic arm it', 'start': 4.62, 'duration': 5.339}, {'text': 'uses the micro mega FPU version three', 'start': 7.29, 'duration': 5.339}, {'text': 'floating-point coprocessor and the micro', 'start': 9.959, 'duration': 8.911}, {'text': 'mega pwm one servo coprocessor the link', 'start': 12.629, 'duration': 8.341}, {'text': 'six robotic arm has six independent', 'start': 18.87, 'duration': 6.17}, {'text': 'servos controlling the motion of the arm', 'start': 20.97, 'duration': 4.07}, {'text': 'the base servo rotates the arm in the XY', 'start': 25.46, 'duration': 5.58}, {'text': 'plane', 'start': 29.01, 'duration': 2.03}, {'text': 'the shoulder elbow and wrist servos', 'start': 35.66, 'duration': 6.6}, {'text': 'position the gripper', 'start': 39.03, 'duration': 3.23}, {'text': 'the hand servo rotates the gripper and', 'start': 43.39, 'duration': 8.11}, {'text': 'the grip serval opens and closes the', 'start': 48.4, 'duration': 9.34}, {'text': 'gripper all six servos are controlled by', 'start': 51.5, 'duration': 9.6}, {'text': 'the pwm one servo coprocessor which', 'start': 57.74, 'duration': 5.07}, {'text': 'supports synchronized movement of', 'start': 61.1, 'duration': 4.53}, {'text': 'multiple servos to achieve smooth arm', 'start': 62.81, 'duration': 7.44}, {'text': 'movements the FPU version three chip', 'start': 65.63, 'duration': 6.72}, {'text': 'performs floating-point kinematic', 'start': 70.25, 'duration': 3.84}, {'text': 'calculations that determine the correct', 'start': 72.35, 'duration': 4.11}, {'text': 'angles for each servo in order to', 'start': 74.09, 'duration': 3.9}, {'text': 'position the gripper at a specified', 'start': 76.46, 'duration': 6.84}, {'text': 'coordinate the examples in this video is', 'start': 77.99, 'duration': 8.01}, {'text': 'a basic stamp microcontroller but since', 'start': 83.3, 'duration': 4.35}, {'text': 'the majority of work is handled by the', 'start': 86.0, 'duration': 4.74}, {'text': 'fbu and pwm chips almost any', 'start': 87.65, 'duration': 4.89}, {'text': 'microcontroller could be used to drive', 'start': 90.74, 'duration': 6.54}, {'text': 'the robotic arm the robotic arm has been', 'start': 92.54, 'duration': 7.17}, {'text': 'enhanced with the addition of a GP 2d', 'start': 97.28, 'duration': 5.67}, {'text': '120 distance sensor which allows the arm', 'start': 99.71, 'duration': 6.29}, {'text': 'to locate objects', 'start': 102.95, 'duration': 3.05}, {'text': 'the first demonstration shows the', 'start': 106.17, 'duration': 4.08}, {'text': 'robotic arm moving blocks to a container', 'start': 108.21, 'duration': 4.56}, {'text': 'the position of the blocks is identified', 'start': 110.25, 'duration': 4.17}, {'text': 'by coordinates and kinematic', 'start': 112.77, 'duration': 3.54}, {'text': 'calculations are performed to calculate', 'start': 114.42, 'duration': 4.26}, {'text': 'the servo angles required to position', 'start': 116.31, 'duration': 5.33}, {'text': 'the gripper correctly', 'start': 118.68, 'duration': 2.96}, {'text': 'the second demonstration shows the', 'start': 155.3, 'duration': 4.33}, {'text': 'robotic arm locating objects', 'start': 157.92, 'duration': 4.2}, {'text': 'automatically it performs a slow scan', 'start': 159.63, 'duration': 5.01}, {'text': 'until it senses an object then scans', 'start': 162.12, 'duration': 5.49}, {'text': 'back to get a more precise position it', 'start': 164.64, 'duration': 4.5}, {'text': 'then calculates the distance to the', 'start': 167.61, 'duration': 3.9}, {'text': 'object picks it up and moves it to the', 'start': 169.14, 'duration': 4.98}, {'text': 'container when no objects are detected', 'start': 171.51, 'duration': 6.02}, {'text': 'it returns to the home position', 'start': 174.12, 'duration': 3.41}, {'text': 'you', 'start': 231.63, 'duration': 2.06}]"
9Too,IsynFAfOXGk,"[97, 386]",
zsoo,IxD6x8g7TZE,[3],
4woo,K0X9XbclLzU,"[0, 1, 36, 132, 331]","[{'text': 'everything yeah joe 6000 I am I or 23', 'start': 9.93, 'duration': 56.17}, {'text': 'both the search and destroy destroy the', 'start': 62.23, 'duration': 5.75}, {'text': 'objective', 'start': 66.1, 'duration': 9.1}, {'text': 'come we go the wrong way', 'start': 67.98, 'duration': 7.22}, {'text': 'enemy UAV online', 'start': 111.869, 'duration': 3.54}, {'text': 'good job raise it on the lamp no dingo', 'start': 142.46, 'duration': 8.43}, {'text': 'this is the low i got like 10 profiles', 'start': 146.4, 'duration': 4.49}, {'text': 'search and destroy destroy an objective', 'start': 158.9, 'duration': 6.39}, {'text': 'enemy you a bitch boy you got an enemy', 'start': 171.01, 'duration': 23.92}, {'text': 'camp changing mag I do this shit like', 'start': 174.29, 'duration': 22.979}, {'text': 'this all day every day I can get a cute', 'start': 194.93, 'duration': 5.55}, {'text': ""when I really want to know no I don't"", 'start': 197.269, 'duration': 8.341}, {'text': 'want to try everything gps boy we got an', 'start': 200.48, 'duration': 29.539}, {'text': 'iphone fuckin break a sweat it', 'start': 205.61, 'duration': 24.409}, {'text': ""I'm pretty sure my uncle arrested you"", 'start': 231.11, 'duration': 9.1}, {'text': 'the other way to this black oh yeah hey', 'start': 233.76, 'duration': 10.05}, {'text': 'everybody look the ball leaves me I go', 'start': 240.21, 'duration': 7.26}, {'text': 'hang over some single fucking holy and', 'start': 243.81, 'duration': 7.8}, {'text': 'big one what do you want hey Bonnie Joe', 'start': 247.47, 'duration': 6.41}, {'text': 'hey Paula tell you funny John ok', 'start': 251.61, 'duration': 5.01}, {'text': 'Cassandra how are you hon what do you', 'start': 253.88, 'duration': 5.169}, {'text': 'call 10 not a good amount to the okay', 'start': 256.62, 'duration': 5.25}, {'text': ""time cause i'm calling on we call it out"", 'start': 259.049, 'duration': 5.851}, {'text': 'it start yo calm very good no collars', 'start': 261.87, 'duration': 6.39}, {'text': ""yokai oh man what's up yo yo dawg yo"", 'start': 264.9, 'duration': 6.0}, {'text': ""diggity diggity dog man what's up what's"", 'start': 268.26, 'duration': 5.13}, {'text': 'up my brother what is going on in the', 'start': 270.9, 'duration': 10.31}, {'text': ""hood you know what's going on my niggas"", 'start': 273.39, 'duration': 7.82}, {'text': 'goin on listen take it anymore ha he is', 'start': 285.17, 'duration': 10.36}, {'text': 'gonna know about it I had that you dying', 'start': 291.39, 'duration': 6.68}, {'text': 'on me', 'start': 295.53, 'duration': 2.54}]"
C3oo,K0eGr6pMVNI,"[60, 353, 673, 1409]",
OPoo,1IkCf3JGmQs,[3],
Nkoo,1PZFgXf_hAI,"[1, 124, 287, 317]",
45oo,1WDFB439yJ0,[755],
Lfoo,HPA0B75ZYds,"[2, 17, 19, 129]",
Pooo,HZMazy8ulDk,"[21, 23]",
etoo,bfGWwAiIfA0,[61],
DFoo,blpAb9cl7i8,[12],
qcoo,jxTmzefvc-A,"[66, 1095, 1637, 3280]",
afoo,qq3KBW7OInU,"[0, 1, 440, 2317]","[{'text': ""hey guys what's going on all right so I"", 'start': 0.06, 'duration': 3.869}, {'text': 'gotta tell you guys about this game I', 'start': 2.04, 'duration': 4.049}, {'text': ""gotta tell you this one I'm planning on"", 'start': 3.929, 'duration': 4.17}, {'text': 'normal division one hot game against', 'start': 6.089, 'duration': 3.991}, {'text': ""this guy and anyway it's pretty good"", 'start': 8.099, 'duration': 3.181}, {'text': ""game he's a good team"", 'start': 10.08, 'duration': 2.91}, {'text': ""he's pro playoff champion it's a good"", 'start': 11.28, 'duration': 4.109}, {'text': 'game he leaves me I get my first goal', 'start': 12.99, 'duration': 4.14}, {'text': ""it's a passive front he's let me down"", 'start': 15.389, 'duration': 3.72}, {'text': 'long and then he left the guy wide open', 'start': 17.13, 'duration': 3.75}, {'text': ""in front it's got Carey Price in net so"", 'start': 19.109, 'duration': 4.351}, {'text': ""he's got a good team and then we're four"", 'start': 20.88, 'duration': 4.59}, {'text': 'on four and then I ended up going on a', 'start': 23.46, 'duration': 4.11}, {'text': ""power play so I'm working it around"", 'start': 25.47, 'duration': 5.16}, {'text': ""these let me like I'm just working it on"", 'start': 27.57, 'duration': 4.98}, {'text': ""this guy at this point I'm getting shots"", 'start': 30.63, 'duration': 3.99}, {'text': 'all over the place I go down low and', 'start': 32.55, 'duration': 5.34}, {'text': 'then short side he lets me talk one once', 'start': 34.62, 'duration': 6.18}, {'text': ""again guy wide open oh friends I don't"", 'start': 37.89, 'duration': 4.68}, {'text': ""know so he's getting upset you can does"", 'start': 40.8, 'duration': 2.849}, {'text': ""getting upset just by the way he's"", 'start': 42.57, 'duration': 2.969}, {'text': 'playing keep stepping up only put', 'start': 43.649, 'duration': 3.601}, {'text': ""there's only a couple seconds left I get"", 'start': 45.539, 'duration': 4.621}, {'text': 'a rebound goal with 0.5 seconds left in', 'start': 47.25, 'duration': 3.93}, {'text': 'the second period', 'start': 50.16, 'duration': 3.329}, {'text': ""so I tuck it I'm not 3 oh and I know"", 'start': 51.18, 'duration': 4.8}, {'text': ""this guy's rather short-handed one-timer"", 'start': 53.489, 'duration': 5.761}, {'text': ""snipe it baby for nothing and this guy's"", 'start': 55.98, 'duration': 6.3}, {'text': 'so mad he calls me a glitch abuser once', 'start': 59.25, 'duration': 5.549}, {'text': 'as much as he sends me the message sends', 'start': 62.28, 'duration': 6.86}, {'text': 'me the message come on baby send it', 'start': 64.799, 'duration': 14.551}, {'text': 'glitch abuser I know right and all right', 'start': 69.14, 'duration': 12.549}, {'text': ""he's just coding at this point so what"", 'start': 79.35, 'duration': 4.019}, {'text': ""am I gonna do don't be a glitch abuser"", 'start': 81.689, 'duration': 3.601}, {'text': ""I'm gonna give him a bacon slap shots"", 'start': 83.369, 'duration': 4.591}, {'text': 'night goal so I go down low stop he', 'start': 85.29, 'duration': 6.02}, {'text': 'baits and bam', 'start': 87.96, 'duration': 3.35}, {'text': ""anyway that's gonna teach her right so"", 'start': 98.44, 'duration': 4.36}, {'text': ""come on when it's later after he told me"", 'start': 100.82, 'duration': 4.68}, {'text': 'the glitter beuter I gave a one and sure', 'start': 102.8, 'duration': 6.8}, {'text': ""enough he quits he's out here"", 'start': 105.5, 'duration': 4.1}]"
gEoo,dLXNcHt1E5M,"[50, 65]",
OToo,YKvPs6M0tBo,"[2, 7, 208]",
b7oo,2hONjKUE-F4,[33],
gOoo,Q6hXwNnLHtw,"[4, 13]",
SNoo,gnlA-rmkx7U,"[11, 62, 1651]",
yzoo,D5H0s8ZNM9E,"[0, 1, 258, 424, 590, 926]",
rKoo,YdD5mXZIjJs,"[11, 20, 22, 112, 625]",
Gkoo,on1ieCCbX9Y,[39],
Kgoo,co7wsiQZq2M,"[3, 89, 324]",
oroo,cvThM2KIZms,"[0, 1, 5, 203, 577]",
