GQOf,bm-x2zlsd8o,"[21, 23, 2835]",
pyPG,iOlH1SfOhxM,"[0, 1, 42, 431, 1722]","[{'text': 'whats up guys its connection pro gaming', 'start': 8.9, 'duration': 4.48}, {'text': ""calm we're here at PAX Prime 2011 and"", 'start': 11.07, 'duration': 4.319}, {'text': 'right now I have the CEO of hybrid', 'start': 13.38, 'duration': 3.84}, {'text': ""studios Todd Harris with me we're going"", 'start': 15.389, 'duration': 4.011}, {'text': ""to talk about tonight it's new like"", 'start': 17.22, 'duration': 4.83}, {'text': ""awesome days it's difference new so tell"", 'start': 19.4, 'duration': 7.36}, {'text': ""me I don't want to call it an RTS or a"", 'start': 22.05, 'duration': 7.229}, {'text': 'direct title because its third person is', 'start': 26.76, 'duration': 4.83}, {'text': ""different it's not like Lowell more dota"", 'start': 29.279, 'duration': 3.841}, {'text': 'what would you call it well we', 'start': 31.59, 'duration': 3.239}, {'text': ""definitely don't use the term RTS since"", 'start': 33.12, 'duration': 3.0}, {'text': ""you're not clicking on a map you're"", 'start': 34.829, 'duration': 2.73}, {'text': ""right there in there so I mean I'd say"", 'start': 36.12, 'duration': 2.91}, {'text': ""it's a third-person MOBA so it's"", 'start': 37.559, 'duration': 3.361}, {'text': 'definitely a multiplayer online battle', 'start': 39.03, 'duration': 4.619}, {'text': 'arena on the theme of course is God 25', 'start': 40.92, 'duration': 5.459}, {'text': 'gods against my enemy gods but the big', 'start': 43.649, 'duration': 4.831}, {'text': 'difference as you said is third person', 'start': 46.379, 'duration': 4.2}, {'text': 'controls third-person perspective so you', 'start': 48.48, 'duration': 3.599}, {'text': 'move around much more like an action', 'start': 50.579, 'duration': 3.48}, {'text': ""game right because it's that's what's"", 'start': 52.079, 'duration': 4.381}, {'text': 'really setting this game apart we we saw', 'start': 54.059, 'duration': 5.401}, {'text': ""it and we're like whoa its third person"", 'start': 56.46, 'duration': 4.56}, {'text': ""that's so different we're watching it it"", 'start': 59.46, 'duration': 3.06}, {'text': 'looks really amazing what are you guys', 'start': 61.02, 'duration': 2.73}, {'text': 'doing it really set you apart from', 'start': 62.52, 'duration': 3.75}, {'text': ""anybody that's in this category because"", 'start': 63.75, 'duration': 4.2}, {'text': ""your game is beautiful and it's"", 'start': 66.27, 'duration': 3.18}, {'text': 'different so what are you doing Thanks', 'start': 67.95, 'duration': 3.48}, {'text': 'well so players of those other games', 'start': 69.45, 'duration': 4.07}, {'text': 'definitely will find something familiar', 'start': 71.43, 'duration': 5.22}, {'text': ""5vs5 you're using minions you're pushing"", 'start': 73.52, 'duration': 6.639}, {'text': 'three lanes you you have jungling and', 'start': 76.65, 'duration': 5.219}, {'text': 'you have creeps and camps in the jungle', 'start': 80.159, 'duration': 4.051}, {'text': 'that you can kill to get to get up buffs', 'start': 81.869, 'duration': 4.32}, {'text': 'you progress your character within a', 'start': 84.21, 'duration': 3.93}, {'text': 'match we actually have 20 levels and you', 'start': 86.189, 'duration': 4.531}, {'text': 'buy items but like you said what sets it', 'start': 88.14, 'duration': 4.11}, {'text': 'apart does the world really need another', 'start': 90.72, 'duration': 3.719}, {'text': 'mobile we think it does because the', 'start': 92.25, 'duration': 5.1}, {'text': 'third person changes everything so one', 'start': 94.439, 'duration': 6.301}, {'text': 'you move as we said by using WASD your', 'start': 97.35, 'duration': 5.729}, {'text': ""perspective is third person so you can't"", 'start': 100.74, 'duration': 3.9}, {'text': ""just click around the map and see what's"", 'start': 103.079, 'duration': 3.421}, {'text': ""going on if someone's ganking you they"", 'start': 104.64, 'duration': 3.36}, {'text': 'come from behind there literally you', 'start': 106.5, 'duration': 2.939}, {'text': ""don't see them until they're on screen"", 'start': 108.0, 'duration': 3.0}, {'text': ""and finally everything's like a"", 'start': 109.439, 'duration': 3.631}, {'text': 'skill-shot you actually are aiming all', 'start': 111.0, 'duration': 3.63}, {'text': ""your shots it's not like locked on"", 'start': 113.07, 'duration': 3.479}, {'text': 'targeting so that gives it a much more', 'start': 114.63, 'duration': 4.379}, {'text': 'action Arkady feel but was still all the', 'start': 116.549, 'duration': 4.021}, {'text': 'depth that people like out of other', 'start': 119.009, 'duration': 4.021}, {'text': ""games like dota or other MOBAs so that's"", 'start': 120.57, 'duration': 3.45}, {'text': 'one of the first things we actually', 'start': 123.03, 'duration': 1.879}, {'text': 'noticed', 'start': 124.02, 'duration': 3.739}, {'text': 'it looks much more immersive and skill', 'start': 124.909, 'duration': 5.431}, {'text': 'based you have to time things better you', 'start': 127.759, 'duration': 4.171}, {'text': 'have to be very aware of your', 'start': 130.34, 'duration': 4.1}, {'text': 'surroundings which really sets it apart', 'start': 131.93, 'duration': 5.25}, {'text': 'right now how many champions you have', 'start': 134.44, 'duration': 4.81}, {'text': ""out like because our God's they're all"", 'start': 137.18, 'duration': 3.63}, {'text': 'based off of gods like you said how many', 'start': 139.25, 'duration': 3.54}, {'text': 'of you have out right now or maybe when', 'start': 140.81, 'duration': 3.75}, {'text': 'the release of the game comes out yeah', 'start': 142.79, 'duration': 3.33}, {'text': 'so here at PAX this is actually the', 'start': 144.56, 'duration': 2.88}, {'text': ""first time we've shown the build"", 'start': 146.12, 'duration': 3.54}, {'text': ""publicly so it's a free beta bill which"", 'start': 147.44, 'duration': 4.049}, {'text': ""were excited about we're starting with"", 'start': 149.66, 'duration': 3.93}, {'text': 'nine gods and goddesses in this build', 'start': 151.489, 'duration': 4.14}, {'text': 'but we have a roadmap for actually 30', 'start': 153.59, 'duration': 3.509}, {'text': ""and the way the way we're breaking them"", 'start': 155.629, 'duration': 4.261}, {'text': 'up is in addition to gameplay categories', 'start': 157.099, 'duration': 5.191}, {'text': 'you know like tanks assassins mage we', 'start': 159.89, 'duration': 4.95}, {'text': 'really draw on different pantheons from', 'start': 162.29, 'duration': 4.62}, {'text': 'mythology of different cultures so we', 'start': 164.84, 'duration': 4.649}, {'text': 'have Greek gods like Zeus we have Norse', 'start': 166.91, 'duration': 4.859}, {'text': 'gods like Odin we have Egyptian gods', 'start': 169.489, 'duration': 5.671}, {'text': 'like Anubis we have Indian or Hindu gods', 'start': 171.769, 'duration': 5.521}, {'text': 'like Kali and then we have chinese gods', 'start': 175.16, 'duration': 4.079}, {'text': ""liked kebo so we're going to basically"", 'start': 177.29, 'duration': 3.63}, {'text': 'do six gods from each of those five', 'start': 179.239, 'duration': 3.09}, {'text': 'families which will give us our roadmap', 'start': 180.92, 'duration': 3.569}, {'text': 'to 30 and of course will introduce new', 'start': 182.329, 'duration': 4.53}, {'text': 'playable gods and goddesses over time', 'start': 184.489, 'duration': 4.981}, {'text': ""even after we release and if i'm not"", 'start': 186.859, 'duration': 4.651}, {'text': ""mistaken i'm pretty sure i heard several"", 'start': 189.47, 'duration': 3.9}, {'text': ""times that it's a hundred percent free"", 'start': 191.51, 'duration': 4.65}, {'text': ""to play that's right yeah hi-rez Studios"", 'start': 193.37, 'duration': 6.839}, {'text': 'we are play free to play so yeah you', 'start': 196.16, 'duration': 6.63}, {'text': 'know our mentality is basically polish', 'start': 200.209, 'duration': 5.071}, {'text': 'games good graphics but most importantly', 'start': 202.79, 'duration': 4.65}, {'text': ""balance gameplay so we're very much"", 'start': 205.28, 'duration': 4.65}, {'text': 'against pay for power we think that', 'start': 207.44, 'duration': 4.59}, {'text': 'folks are right you did a great model', 'start': 209.93, 'duration': 3.779}, {'text': ""with League of Legends so it's very"", 'start': 212.03, 'duration': 4.44}, {'text': 'comparable players used to that will the', 'start': 213.709, 'duration': 5.161}, {'text': 'smite model will be familiar to them you', 'start': 216.47, 'duration': 4.71}, {'text': 'can unlock gods through gameplay but you', 'start': 218.87, 'duration': 3.54}, {'text': 'can buy them more quickly with', 'start': 221.18, 'duration': 3.48}, {'text': 'microtransactions you can buy experience', 'start': 222.41, 'duration': 3.75}, {'text': 'boosts because there is progression', 'start': 224.66, 'duration': 3.0}, {'text': 'outside the game if you want that to go', 'start': 226.16, 'duration': 3.87}, {'text': 'faster you can buy that and then finally', 'start': 227.66, 'duration': 4.56}, {'text': 'cosmetic skins everybody loves skin so', 'start': 230.03, 'duration': 3.959}, {'text': 'if you want your God to look a little', 'start': 232.22, 'duration': 3.419}, {'text': ""more epic than my god that's something"", 'start': 233.989, 'duration': 3.301}, {'text': ""you can do self expression doesn't"", 'start': 235.639, 'duration': 3.271}, {'text': ""unbalance the gameplay and it's a way to"", 'start': 237.29, 'duration': 3.449}, {'text': 'support the dev team so we can keep', 'start': 238.91, 'duration': 3.78}, {'text': 'pushing out more content for folks to', 'start': 240.739, 'duration': 3.011}, {'text': 'play', 'start': 242.69, 'duration': 3.22}, {'text': 'wink we expect us to be out like are you', 'start': 243.75, 'duration': 3.45}, {'text': 'guys gonna have a beta sometime soon', 'start': 245.91, 'duration': 3.12}, {'text': 'maybe yeah beta is really the next phase', 'start': 247.2, 'duration': 3.21}, {'text': ""that we're focused on you know first"", 'start': 249.03, 'duration': 2.94}, {'text': ""goal was let's get something to pax it's"", 'start': 250.41, 'duration': 3.18}, {'text': ""fun to play we've had great reception"", 'start': 251.97, 'duration': 3.18}, {'text': ""you know long lines here so that's"", 'start': 253.59, 'duration': 3.78}, {'text': 'satisfying to the team now we can go', 'start': 255.15, 'duration': 4.83}, {'text': 'back to Atlanta and and work on content', 'start': 257.37, 'duration': 5.4}, {'text': ""for beta in the next month we'll open up"", 'start': 259.98, 'duration': 4.53}, {'text': 'beta applications so people can go to', 'start': 262.77, 'duration': 4.68}, {'text': 'smite gamecom will start that beta', 'start': 264.51, 'duration': 4.41}, {'text': 'definitely before the end of the year', 'start': 267.45, 'duration': 3.27}, {'text': ""and based on how that goes we're hoping"", 'start': 268.92, 'duration': 4.14}, {'text': 'early next year we can release so know', 'start': 270.72, 'duration': 4.14}, {'text': 'exactly but maybe first quarter someone', 'start': 273.06, 'duration': 4.17}, {'text': 'first quarter certainly before second', 'start': 274.86, 'duration': 4.17}, {'text': 'you know by or before second quarter so', 'start': 277.23, 'duration': 3.63}, {'text': 'a lot depends on beta but we want to', 'start': 279.03, 'duration': 3.27}, {'text': 'have a lot of people playing before the', 'start': 280.86, 'duration': 3.54}, {'text': 'end of this year well no need to rush', 'start': 282.3, 'duration': 4.02}, {'text': ""because I'm is always what's going to"", 'start': 284.4, 'duration': 3.99}, {'text': 'make a good game even better so I like', 'start': 286.32, 'duration': 3.36}, {'text': 'to thank you again and good luck this', 'start': 288.39, 'duration': 3.63}, {'text': 'game looks amazing for more coverage at', 'start': 289.68, 'duration': 4.11}, {'text': 'PAX Prime 2011 stay tuned of pro gaming', 'start': 292.02, 'duration': 4.19}, {'text': 'calm', 'start': 293.79, 'duration': 2.42}, {'text': 'Oh', 'start': 306.3, 'duration': 2.0}, {'text': 'mission complete', 'start': 311.05, 'duration': 3.56}]"
zFPG,fCJ63VNMPTA,"[3, 4, 9, 10, 13, 351, 550]",
f9PG,fL7NjLb3rxU,[2347],
vFPG,H2n5GDRJsJY,"[18, 59, 2985]",
bhPG,,"[2, 7, 19, 64, 149]",
XmPG,R1aSH0EV-vk,"[66, 148]","[{'text': 'so dinner day outfit today', 'start': 9.16, 'duration': 7.48}, {'text': 'my bag is Chanel all my jumpsuit is like', 'start': 12.86, 'duration': 10.32}, {'text': 'really old Topshop stock my belts beyond', 'start': 16.64, 'duration': 13.649}, {'text': 'retro and my shoes mr. Lugo trial at the', 'start': 23.18, 'duration': 12.03}, {'text': 'lady peep inpatient and my ring is from', 'start': 30.289, 'duration': 6.961}, {'text': ""I think I don't remember so I'll put it"", 'start': 35.21, 'duration': 4.05}, {'text': 'in the down bar and then my wedding', 'start': 37.25, 'duration': 4.079}, {'text': 'engagement rings and my earrings are', 'start': 39.26, 'duration': 10.35}, {'text': 'from a butler Wilson so your beep so', 'start': 41.329, 'duration': 12.601}, {'text': ""today it's just up my back my bag is the"", 'start': 49.61, 'duration': 6.89}, {'text': 'Louboutin Alma and like the smaller size', 'start': 53.93, 'duration': 7.08}, {'text': 'my Curt again thrown thing is vintage I', 'start': 56.5, 'duration': 9.31}, {'text': 'got it from Camden my shorts are quite', 'start': 61.01, 'duration': 7.08}, {'text': ""old stock Topshop I'm not too sure if"", 'start': 65.81, 'duration': 5.6}, {'text': ""they're leather or pleather my top is"", 'start': 68.09, 'duration': 5.759}, {'text': ""saline all the Saline I don't really"", 'start': 71.41, 'duration': 4.629}, {'text': ""know it's from eBay I want it it's not"", 'start': 73.849, 'duration': 5.13}, {'text': 'sitting all the time but who knows my', 'start': 76.039, 'duration': 4.651}, {'text': 'ring is just the wire cell arty and', 'start': 78.979, 'duration': 5.551}, {'text': 'white my necklace I will leave in the', 'start': 80.69, 'duration': 7.34}, {'text': ""downbar it's just a silver gold sorry"", 'start': 84.53, 'duration': 6.81}, {'text': ""like thin thingy I'll put my makeup"", 'start': 88.03, 'duration': 6.85}, {'text': 'details below and my shoes last but not', 'start': 91.34, 'duration': 10.29}, {'text': ""least from Zara and that's it folks so"", 'start': 94.88, 'duration': 13.62}, {'text': 'yeah bye no outfit 3d I think so a', 'start': 101.63, 'duration': 9.51}, {'text': 'little bit more cash my shirt is very', 'start': 108.5, 'duration': 7.259}, {'text': ""holy it's from ASOS and my piece top is"", 'start': 111.14, 'duration': 9.63}, {'text': 'from Topshop my belt is why I sell my', 'start': 115.759, 'duration': 8.25}, {'text': 'shorts are I think this B D G Urban', 'start': 120.77, 'duration': 6.45}, {'text': ""Outfitters my bag is the same it's the"", 'start': 124.009, 'duration': 7.381}, {'text': 'Louie Alma my ring is a different RT I', 'start': 127.22, 'duration': 5.61}, {'text': ""don't know if it is the RT this"", 'start': 131.39, 'duration': 4.59}, {'text': ""particular one but it's why sell my cuff"", 'start': 132.83, 'duration': 4.03}, {'text': 'is', 'start': 135.98, 'duration': 3.31}, {'text': 'vintage mosquito is a gift from the man', 'start': 136.86, 'duration': 6.42}, {'text': 'behind the camera Fabio my makeup', 'start': 139.29, 'duration': 5.85}, {'text': ""details again I'll put below my watch is"", 'start': 143.28, 'duration': 5.82}, {'text': 'the same and my shoes ease of wedge', 'start': 145.14, 'duration': 10.31}, {'text': ""sneakers from Aldo and that's all folks"", 'start': 149.1, 'duration': 6.35}, {'text': ""hello so I don't know what it is in"", 'start': 156.35, 'duration': 6.19}, {'text': 'terms of outfits but today so you want', 'start': 160.41, 'duration': 8.73}, {'text': 'cash again we have being hammy down we', 'start': 162.54, 'duration': 11.16}, {'text': 'have the hand-me-down Oh Kenny', 'start': 169.14, 'duration': 7.86}, {'text': 'then my cardi is like old Topshop', 'start': 173.7, 'duration': 9.03}, {'text': 'my dress is old stock Zara my belt is a', 'start': 177.0, 'duration': 10.41}, {'text': 'vintage and evil Chanel my ring is my', 'start': 182.73, 'duration': 9.12}, {'text': ""black YSL same accessories it's the full"", 'start': 187.41, 'duration': 8.37}, {'text': 'and then on my feet we have are from', 'start': 191.85, 'duration': 7.71}, {'text': ""Topshop again old stock and yeah that's"", 'start': 195.78, 'duration': 8.73}, {'text': 'pretty much it so leaders that outfit of', 'start': 199.56, 'duration': 12.24}, {'text': 'the day my top is from Kenzo Paris as it', 'start': 204.51, 'duration': 10.17}, {'text': 'says like chain I will have to put in', 'start': 211.8, 'duration': 4.47}, {'text': ""the downbar because I don't remember"", 'start': 214.68, 'duration': 3.39}, {'text': ""where as forums don't remember the name"", 'start': 216.27, 'duration': 8.46}, {'text': 'but my skirt is a lawyer my bag is a', 'start': 218.07, 'duration': 10.38}, {'text': 'vintage I miss Kelly hand-me-down my pop', 'start': 224.73, 'duration': 6.15}, {'text': 'socks are by house of Holland and my', 'start': 228.45, 'duration': 8.25}, {'text': 'shoes are really old stock Topshop some', 'start': 230.88, 'duration': 10.98}, {'text': ""roses by retro superb culture if I'm"", 'start': 236.7, 'duration': 7.86}, {'text': ""wrong I'll correct myself my bracelet is"", 'start': 241.86, 'duration': 5.7}, {'text': 'new its musky no it was a gift from', 'start': 244.56, 'duration': 5.04}, {'text': 'Fabio we got it from a consignment store', 'start': 247.56, 'duration': 6.27}, {'text': 'and then my watch is the Chanel j12', 'start': 249.6, 'duration': 7.949}, {'text': 'and that is it folks that is my outfit', 'start': 253.83, 'duration': 8.189}, {'text': ""of the day well guys my outfit yeah I've"", 'start': 257.549, 'duration': 6.851}, {'text': 'got magic', 'start': 262.019, 'duration': 5.381}, {'text': 'Muppet', 'start': 264.4, 'duration': 3.0}]"
3PPG,R8j2fgY73t0,[882],"[{'text': 'review story ah impulse Cody here and', 'start': 13.2, 'duration': 5.62}, {'text': ""I'm not that bustin your guys's chops"", 'start': 17.439, 'duration': 2.91}, {'text': ""yet now I won't be going to spoiler"", 'start': 18.82, 'duration': 3.119}, {'text': 'territory for this section so if you', 'start': 20.349, 'duration': 4.471}, {'text': ""haven't seen the anime leave get out of"", 'start': 21.939, 'duration': 3.39}, {'text': 'here', 'start': 24.82, 'duration': 3.66}, {'text': ""villain wants you here let's first off"", 'start': 25.329, 'duration': 5.341}, {'text': ""with Aaron Aaron the reason why you're"", 'start': 28.48, 'duration': 3.84}, {'text': ""Titan form doesn't have a penis as well"", 'start': 30.67, 'duration': 3.09}, {'text': ""because your gnome doesn't have one"", 'start': 32.32, 'duration': 1.89}, {'text': 'either', 'start': 33.76, 'duration': 2.369}, {'text': ""I mean you're the prettiest person I've"", 'start': 34.21, 'duration': 3.96}, {'text': 'ever seen you can turn any gay man', 'start': 36.129, 'duration': 4.561}, {'text': 'straight and Mikasa what do you like', 'start': 38.17, 'duration': 4.59}, {'text': ""Esper it's hard to have a soul Jean"", 'start': 40.69, 'duration': 4.049}, {'text': ""you're French so you're supposed to lose"", 'start': 42.76, 'duration': 5.16}, {'text': ""to me I'm princess I'd that Marco I"", 'start': 44.739, 'duration': 5.64}, {'text': ""shouldn't have said polo I should have"", 'start': 47.92, 'duration': 5.459}, {'text': ""said yellow because that's what you did"", 'start': 50.379, 'duration': 6.21}, {'text': 'Connie you suck and Sascha', 'start': 53.379, 'duration': 6.801}, {'text': 'Samwise call he just wants you back', 'start': 56.589, 'duration': 7.35}, {'text': 'potay toes boil em mash em stick em', 'start': 60.18, 'duration': 6.43}, {'text': 'gonna stew I was just reading the Zelda', 'start': 63.939, 'duration': 4.981}, {'text': 'historia see if Krista was in it to see', 'start': 66.61, 'duration': 3.96}, {'text': ""if she's worth anything she's not so"", 'start': 68.92, 'duration': 3.089}, {'text': ""that must mean she's worthless so you"", 'start': 70.57, 'duration': 4.56}, {'text': 'have her still open and Reiner was it', 'start': 72.009, 'duration': 4.921}, {'text': ""you who said let's jump the sword over"", 'start': 75.13, 'duration': 3.84}, {'text': 'ton job to show that kills him so I', 'start': 76.93, 'duration': 3.21}, {'text': 'guess we all know what you do with', 'start': 78.97, 'duration': 3.9}, {'text': 'bertolt just with a different sword and', 'start': 80.14, 'duration': 5.25}, {'text': 'an e I have found this picture of you', 'start': 82.87, 'duration': 4.82}, {'text': 'that I think just perfectly encapsulates', 'start': 85.39, 'duration': 6.18}, {'text': 'just whatever you are just I think this', 'start': 87.69, 'duration': 6.79}, {'text': 'is just a perfect picture of ya Berlin I', 'start': 91.57, 'duration': 4.68}, {'text': 'trust your leadership as much as I trust', 'start': 94.48, 'duration': 3.57}, {'text': 'in reviewers saying about fantasy xiii', 'start': 96.25, 'duration': 4.59}, {'text': 'was a good game and guys watch out for', 'start': 98.05, 'duration': 5.04}, {'text': ""next month I'm just gonna cover up S&M"", 'start': 100.84, 'duration': 5.7}, {'text': 'monthly and last can certainly lamest is', 'start': 103.09, 'duration': 9.42}, {'text': 'Levi yours as short as the average life', 'start': 106.54, 'duration': 8.49}, {'text': 'expectancy of a normal survey course', 'start': 112.51, 'duration': 6.21}, {'text': ""member now I'm gonna go live a long and"", 'start': 115.03, 'duration': 5.61}, {'text': 'fruitful life and not dying from a Titan', 'start': 118.72, 'duration': 3.66}, {'text': ""because I like all these guys here I'm"", 'start': 120.64, 'duration': 7.409}, {'text': 'actually smarter than their Titan my big', 'start': 122.38, 'duration': 7.999}, {'text': 'golden chips', 'start': 128.049, 'duration': 7.761}, {'text': 'oh it loves it when you talk dirty to us', 'start': 130.379, 'duration': 5.431}]"
o8PG,RGA2oEOm99M,"[2, 26, 45, 1050, 3083]",
OhPG,Ne-sD_BAR54,"[0, 26, 432, 453, 1833]",
kUPG,Nqld5WtQ3Fw,"[347, 411]",
rNPG,NsAOY0mkcr0,"[285, 1361]",
L4PG,04N6zv3_AWY,"[0, 1, 352, 1039, 1229]",
FEPG,jnBDr3VgVYg,"[29, 3506]",
XSPG,nnqt7o5R4qk,[8],
LaPG,nq_et7O6JJ4,[181],
gpPG,ZW4p7B-hBfY,"[0, 52, 70, 125]","[{'text': 'the Miami Heat have won 24 of 25 games', 'start': 0.26, 'duration': 7.45}, {'text': ""at home they've also won four straight"", 'start': 5.13, 'duration': 4.92}, {'text': 'contests against the LA Clippers it', 'start': 7.71, 'duration': 4.32}, {'text': ""helps when you've got that guy LeBron"", 'start': 10.05, 'duration': 4.65}, {'text': 'James early on off the pass from Norris', 'start': 12.03, 'duration': 5.999}, {'text': 'Cole LeBron seals and slams six of 13', 'start': 14.7, 'duration': 6.419}, {'text': 'from the field we are tied at 25 later', 'start': 18.029, 'duration': 6.811}, {'text': 'Ray Allen turning back the hands of time', 'start': 21.119, 'duration': 6.66}, {'text': 'just hanging around in the air with a', 'start': 24.84, 'duration': 5.699}, {'text': 'little reverse lamp he was five of eight', 'start': 27.779, 'duration': 5.731}, {'text': 'from the field off the bench and you see', 'start': 30.539, 'duration': 6.241}, {'text': 'we are tied at 34 p still second quarter', 'start': 33.51, 'duration': 5.85}, {'text': 'action and JJ Redick does his best chris', 'start': 36.78, 'duration': 5.16}, {'text': 'ball impersonation big ass and the layup', 'start': 39.36, 'duration': 4.8}, {'text': 'he had 15 points Clippers up by four on', 'start': 41.94, 'duration': 4.439}, {'text': 'the defensive end Blake Griffin coming', 'start': 44.16, 'duration': 3.989}, {'text': 'up with the steal gives it to Chris Paul', 'start': 46.379, 'duration': 3.571}, {'text': 'which is a brilliant idea Chris Paul', 'start': 48.149, 'duration': 3.151}, {'text': 'gives it back to Blake Griffin in', 'start': 49.95, 'duration': 2.85}, {'text': 'transition which is also a brilliant', 'start': 51.3, 'duration': 4.38}, {'text': 'idea and Griffin finishes 11 of 15 from', 'start': 52.8, 'duration': 5.939}, {'text': 'the field Clippers up 5649 third quarter', 'start': 55.68, 'duration': 5.94}, {'text': 'Dwyane Wade dishing to udonis haslem', 'start': 58.739, 'duration': 6.03}, {'text': ""before the jam then it's D Wade to Chris"", 'start': 61.62, 'duration': 5.88}, {'text': 'Bosh beautiful pass ahead buck and easy', 'start': 64.769, 'duration': 6.03}, {'text': 'finish here he had 12 points on the game', 'start': 67.5, 'duration': 5.52}, {'text': 'finished below brawn James finding', 'start': 70.799, 'duration': 4.051}, {'text': 'Dwyane Wade so he gets in on the scoring', 'start': 73.02, 'duration': 4.56}, {'text': 'on this beautiful pass and finish James', 'start': 74.85, 'duration': 4.89}, {'text': ""had six assists on the game then it's"", 'start': 77.58, 'duration': 5.28}, {'text': 'Wade with the pull-up jumper d wade', 'start': 79.74, 'duration': 4.89}, {'text': 'getting a dump at the Clippers still up', 'start': 82.86, 'duration': 6.21}, {'text': 'by one 6463 LeBron James with a little', 'start': 84.63, 'duration': 6.449}, {'text': 'lefty lay in there he had 18 points on', 'start': 89.07, 'duration': 5.159}, {'text': 'the game still Clippers in charge 6866', 'start': 91.079, 'duration': 5.701}, {'text': 'Shane Battier clamp defense takes a', 'start': 94.229, 'duration': 5.131}, {'text': 'chart on Blake Griffin stop me if you', 'start': 96.78, 'duration': 3.87}, {'text': ""heard that before what you're gonna"", 'start': 99.36, 'duration': 3.99}, {'text': 'hear it again Battier another drawn', 'start': 100.65, 'duration': 4.95}, {'text': 'charge this time the guilty party crisp', 'start': 103.35, 'duration': 4.5}, {'text': 'all those are momentum builders this', 'start': 105.6, 'duration': 4.71}, {'text': 'also helps your momentum the Birdman', 'start': 107.85, 'duration': 4.86}, {'text': 'just hanging around my path from Ray', 'start': 110.31, 'duration': 4.62}, {'text': 'Allen and Chris Anderson ten points off', 'start': 112.71, 'duration': 5.4}, {'text': 'the bench Miami in front 76-73 to the', 'start': 114.93, 'duration': 5.34}, {'text': 'fourth quarter we go Norris Cole misses', 'start': 118.11, 'duration': 4.65}, {'text': 'the land rebound tapped out to Dwyane', 'start': 120.27, 'duration': 5.46}, {'text': ""Wade who's managed with one hand power"", 'start': 122.76, 'duration': 6.81}, {'text': 'style Miami up 82-75 watching one with a', 'start': 125.73, 'duration': 6.99}, {'text': 'beautiful seal by the Birdman to give D', 'start': 129.57, 'duration': 5.85}, {'text': 'Wade the landing Shane Battier working', 'start': 132.72, 'duration': 5.489}, {'text': 'around outside to wade who had it going', 'start': 135.42, 'duration': 5.16}, {'text': 'on this night knees feeling great he had', 'start': 138.209, 'duration': 6.75}, {'text': 'a game-high 29 points Miami up 8880 for', 'start': 140.58, 'duration': 6.81}, {'text': 'Floyd Griffin had something left in the', 'start': 144.959, 'duration': 4.681}, {'text': 'tank play a little spacing game there', 'start': 147.39, 'duration': 3.75}, {'text': 'and then just lay a little vertical', 'start': 149.64, 'duration': 3.69}, {'text': ""spacing game nobody's getting up as high"", 'start': 151.14, 'duration': 4.68}, {'text': 'as Griffin you get 27 points and 14', 'start': 153.33, 'duration': 5.04}, {'text': 'rebounds here is the expansion of his', 'start': 155.82, 'duration': 5.1}, {'text': 'game a little friendly roll that helped', 'start': 158.37, 'duration': 5.13}, {'text': ""for Miami still in front and they're on"", 'start': 160.92, 'duration': 6.569}, {'text': 'the run up 99-93 D Wade over to Ray', 'start': 163.5, 'duration': 6.39}, {'text': 'Allen for the lefty land that finishes', 'start': 167.489, 'duration': 4.801}, {'text': 'the Clippers off my auntie gets the five', 'start': 169.89, 'duration': 5.86}, {'text': 'point when files for 102 297', 'start': 172.29, 'duration': 6.64}, {'text': '[Music]', 'start': 175.75, 'duration': 3.18}]"
